definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
13187,4140,1,名词,鸟，外形像鹤，也像鹭，嘴长而直，翼大尾短。善飞翔，生活在近水地区，捕食鱼、虾等。种类很多，常见的有白鹳、黑鹳两种,stork
13188,4141,1,动词,欺骗；瞒哄,deceive
13189,4142,1,动词,随口编造,fabricate
13190,4143,1,动词,从泡在开水里的蚕茧中抽出丝,reel silk
13191,4144,1,名词,一种烤制的面饼，维吾尔族、哈萨克族、柯尔克孜族等多作为主食,naan
13192,4145,1,动词,〈口〉尽力往嘴里塞（食物）,stuff into the mouth
13193,4146,1,动词,挡住容器中泡在液体里的东西，把液体倒出,decant
13194,4147,1,动词,逆；向着相对的方向（行动）,counter
13195,4147,2,动词,〈口〉言语冲突,quarrel
13196,4148,1,动词,支撑；顶住,prop up
13197,4148,2,动词,承受,bear
13198,4149,1,名词,船停泊时在岸上系住船身的石礅,mooring stone
13199,4150,1,拟声词,模拟导火线点燃、子弹在空中飞过时发出的声音等,hiss
13200,4151,1,动词,游水,swim
13201,4152,1,动词,某些地区指扔或摔,throw
13202,4153,1,名词,打击乐器。与钹形制相似，只是中间隆起部分较小，发音较低，余音较长,nao cymbals
13203,4153,2,名词,古代军中的铜制打击乐器。形状像铃而较大，中间没有舌，有短柄，用锤敲击发声。行军时，用铙声制止击鼓,ancient military cymbals
13204,4154,1,动词,（用刀）刺,stab
13205,4155,1,动词,用嘴吸吮；【咂】用嘴吸；呷,suck
13206,4156,1,动词,咬；大口吞食,bite
13207,4157,1,名词,野鸭,wild duck
13208,4158,1,名词,非金属元素，符号：Rn。无色无臭气体，在大气中含量极少，有放射性，是镭、钍等放射性元素蜕变形成的物质，对人体危害大。可用作γ射线源,radon
13209,4159,1,动词,用锔子连接破裂的金属、陶瓷类器物,mend with cramps
13210,4160,1,名词,金属元素，符号：Cm。银白色，化学性质活泼，有放射性。可用作人造卫星和宇宙飞船的热电源,curium
13211,4161,1,动词,猪、鸡等宰杀后经滚水浸烫去掉毛,scald to remove feathers
13212,4162,1,动词,买入（粮食）（跟“粜”相对）,buy grain
13213,4163,1,动词,（皮肤）因风吹或受冻而粗糙起皱或裂口,chap
13214,4163,2,名词,〈口〉皮肤表面或褶皱中积存的老皮或泥垢,dirt in skin creases
13215,4163,3,名词,皴法,texture stroke method
13216,4164,1,名词,播种后用来压实松土的石制农具,stone roller
13217,4164,2,动词,播种后用砘子压实松土,press soil with roller
13218,4165,1,名词,鞍子两旁供骑坐人脚蹬（dēng）的用具,stirrup
13219,4166,1,名词,古代盛熟食用的器皿,ancient food vessel
13220,4167,1,名词,中医指病理变化快并引起全身症状的一种毒疮。形小根深，坚硬如钉，多长在颜面和四肢末梢,malignant boil
13221,4168,1,名词,我国少数民族之一。主要分布在贵州、广西、云南。,Gelao ethnic group
13222,4169,1,动词,（某些野兽）吼叫,howl
13223,4170,1,名词,厚实粗大的整块石头,block of stone
13224,4171,1,动词,用锄松土,loosen soil
13225,4172,1,名词,醋、酱、酱油等表面生出的白霉,mold
13226,4173,1,名词,〈文〉编织的带子,woven band
13227,4174,1,动词,某些地区指排泄（大小便）,defecate
13228,4175,1,形容词,（汁液）浓,strong
13229,4176,1,动词,骟（多用于猪）,castrate
13230,4177,1,拟声词,模拟风吹过的声音,whistle
13231,4177,2,动词,风吹（使变干或变冷）,blow
13232,4178,1,名词,河边或田间用来挡水的土埂,small embankment
13233,4179,1,形容词,〈口〉说话口音不纯正；跟本地语音不合,speak with accent
13234,4179,2,形容词,粗笨；土气,clumsy
13235,4180,1,动词,〈口〉用刀剪等划开物体,slash
13236,4180,2,,耠,hoe
13237,4181,1,名词,皮肤生斑点的病；也指皮肤生的斑点,skin spot
13238,4182,1,名词,开沟播种的农具。用畜力或人力牵引，人在后面扶持,seed plow
13239,4183,1,量词,我国北方使用的地积单位，大小各地不同，东北地区1垧一般合15市亩，西北地区一般合3市亩或5市亩,shang (land measure)
13240,4184,1,动词,把堆在一处的煤、矿石等铲起来放到另一处或运载的车厢里,shovel
13241,4185,1,动词,挖小土坑点种（瓜、豆等）,dibble
13242,4185,2,名词,为点种瓜、豆等作物而挖的小土坑,seed hole
13243,4185,3,量词,用于点种在小土坑里的瓜、豆等,(measure for dibbled seeds)
13244,4186,1,动词,（用可吸入液体的东西）擦拭、按压，除去液体,blot
13245,4187,1,动词,割除家畜的睾丸或卵巢,geld
13246,4188,1,动词,两手不断替换着往回拉或绕（线、绳等）,wind
13247,4188,2,动词,两脚倒换着急速地迈步,hurry
13248,4188,3,动词,顺着线索追究,investigate
13249,4189,1,动词,眼窝深陷,sunken-eyed
