definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,DS,QW,review
136,的,de,助词,用于两个数量词之间,这间屋子是五米的三米，合十五平方米，足够一个人居住。,这个箱子长一米的、宽半米的，正好能放进后备箱。,1,2,1
311,是,shì,形容词,正确的,这个人一无是处，做什么都不成功。,他的回答完全正确，老师满意地点了点头。,1,2,1
613,在,zài,动词,停留于某处,他目前在职，工作非常忙碌。,他毕业后一直在家乡工作，没有去大城市发展。,1,2,2
1122,大,dà,名词,物体的大小程度,那间房子有这间两个大，显得格外宽敞。,这两件衣服的大小差不多，你可以随便选一件。,2,1,2
3026,会,huì,名词,民间宗教集会活动,北京和上海都是国际化大都会。,每年农历三月，村民们都会举办盛大的香会，祈求风调雨顺。,1,2,2
3027,会,huì,名词,民间互助储蓄组织,这里是一个繁华的都会。,我们社区成立了一个互助会，每月大家交钱，轮流帮助有需要的家庭。,1,2,2
3418,发,fā,动词,使（烟雾、气味等）扩散或散开,这个问题的答案可以从多个角度发散思考。,花香在春风中散开，弥漫整个花园。,1,2,1
3419,发,fā,动词,揭露或打开（隐藏的事物）,科学家在研究中发现了一个新的现象。,记者揭露了这起贪污腐败的丑闻。,1,2,1
4521,主,zhǔ,形容词,基于个人视角的,在工作中要主动承担责任。,他总是主观地判断事情，不考虑客观事实。,2,1,2
4919,分,fēn,名词,方言指十元纸币,他通过捞分（赚钱）改善了自己的生活条件。,爷爷给了我十张分票，让我去买些零食吃。,2,1,2
7623,还,huán,动词,以行动回报他人的行为,他被指责后忍不住还嘴辩解。,为了报答老师的栽培之恩，他决定毕业后回到母校任教。,1,2,1
8430,好,hǎo,形容词,以便于,地整平了好种庄稼，农民们可以更高效地耕种。,这个工具设计得很好，用起来很方便。,1,2,1
9615,部,bù,动词,统辖;统率,所部全体官兵严阵以待。,古代名将善于部勒将士，纪律严明。,2,1,1
10231,当,dāng,名词,顶端；顶部,古代建筑上常用的一种装饰物是瓦当。,这座山的当顶常年被积雪覆盖，景色十分壮观。,1,2,2
12311,但,dàn,副词,〈副词〉仅仅，只,但愿如此，我们都能顺利通过考试。,他虽年纪轻轻，但才华横溢，令人赞叹不已。,2,1,1
13029,相,xiàng,动词,提供帮助或支持,吉人天相（套语，用来安慰遭遇危险或困难的人）。,他担任宰相期间，为国家做出了巨大贡献。,1,2,1
13031,相,xiàng,名词,某些国家部长的称谓,婚礼上的傧相负责协助新人完成仪式。,在古代，相国是朝廷中非常重要的官职。,1,2,2
13317,外,wài,副词,除外,这个方案已经很不错了，此外还有一些改进的空间。,十里外的那个小镇以制作传统手工艺品闻名。,2,1,1
14614,表,biǎo,动词,发散风寒,吃服(fù)药表一表，出身汗，感觉好多了。,他感冒了，医生给他开了一服药用来表汗。,1,2,2
17111,已,yǐ,动词,停止。,他们争论不已，谁也无法说服对方。,雨已停了，天空渐渐放晴，空气也变得清新起来。,1,2,1
18413,反,fǎn,动词,返回；回击,夜晚的湖面反光，显得格外美丽。,离家多年后，他终于反乡探望年迈的父母。,2,1,1
19019,立,lì,副词,马上，立即,这种药物立奏奇效，病人的症状迅速得到了缓解。,听到这个好消息，他立时高兴得跳了起来。,1,2,1
20413,少,shǎo,动词,丢失,屋里少了东西，显得空荡荡的。,他在公交车上不小心少了一个重要的文件袋。,2,1,1
21017,次,cì,名词,中间位置,胸次开阔的人往往能更好地面对挫折。,这座古城位于长江与黄河的次，地理位置十分重要。,2,1,1
21514,期,qī,动词,约定时间,我们在街上不期而遇，真是令人惊喜。,我们期于下个月完成这个项目，请大家努力配合。,1,2,1
26018,直,zhí,副词,不绕弯地，径直地,这趟列车直达北京，非常方便。,他一直往前走，没有回头看一眼。,1,2,1
26113,月,yuè,形容词,每月一次的,订阅这本月刊可以了解最新的行业动态。,公司每月都会召开一次全体员工大会。,1,2,1
26214,流,liú,动词,向坏的方向发展,这件事不能只流于形式，必须落到实处。,如果不及时纠正，他的行为可能会流于放纵。,1,2,1
29121,白,bái,名词,汉字写错或读错。,他因为紧张写了不少白字。,这篇作文里有很多白字，需要认真修改。,2,1,2
29124,白,bái,名词,特定地区的方言。,这篇文章文白杂糅，读起来有些拗口。,他说的一口地道的北京白话，听起来特别亲切。,2,1,2
29125,白,bái,名词,现代汉语的口语形式。,这篇文章文白杂糅，既有古典的韵味，又不失现代的流畅。,现代文学作品大多用白话文写成，通俗易懂。,2,1,1
29212,马,mǎ,形容词,形容体积或规模大。,不小心惹怒了马蜂，结果被蜇得满脸红肿。,这匹马力大无穷，能拉动很重的货物。,1,2,1
30616,名,míng,动词,表述,他的行为让人感到莫名其妙。,面对记者的提问，他始终不肯名其真实想法。,1,2,1
33127,边,biān,名词,观察问题的角度,双方进行了双边会谈。,他在音乐和绘画两方面都很有天赋，是个多才多艺的人。,1,2,1
33129,边,biān,名词,表示动作同时进行,他采取了边干边学的方法来提升自己。,他边吃饭边看电视，结果不小心把汤洒在了衣服上。,2,1,2
33311,太,tài,形容词,高大的,太空探索一直是人类的梦想。,这座山太高了，我们爬了整整一天才到山顶。,1,2,2
33413,共,gòng,副词,在一起; 一齐,这首诗引起了读者的共鸣。,全校师生共同努力，终于赢得了比赛冠军。,2,1,2
33518,交,jiāo,副词,彼此；相互。,我们可以通过交换意见来解决问题。,两国领导人就贸易问题进行了深入的交谈。,2,1,2
35314,却,què,动词,去除,经过冷却后，金属变得更加坚固。,他费了很大力气，却没能把门打开。,1,2,1
36418,深,shēn,副词,表示程度高，相当于“很”、“十分”,他深知这个决定的重要性。,我对这位科学家的创新精神深感敬佩，他的研究改变了世界。,2,1,2
38217,存,cún,名词,剩余的数额,公司年底清查库存，发现了一些积压的商品。,月底盘点时发现仓库还存着不少货物。,2,1,1
38414,病,bìng,名词,缺点错误,这篇文章存在一些语病，需要仔细修改。,这篇文章虽然文笔优美，但存在逻辑上的毛病。,2,1,1
41913,艺,yì,名词,准则或限度,贪贿无艺，最终只会自食恶果。,为人处世应当有度，不可贪得无艺。,1,2,1
42912,复,fù,形容词,复杂多样,他的复姓是“欧阳”，这是中国传统的姓氏之一。,这份问卷设计得过于复繁，很多受访者表示难以理解。,1,2,2
42917,复,fù,副词,再次,他的旧病复发，不得不暂时停止工作。,老师复述了重点内容，确保每个学生都能理解。,1,2,1
43017,细,xì,形容词,微小而不重要的,这幅画的细节非常精致，让人叹为观止。,显微镜下可以看到许多肉眼无法察觉的细微结构。,1,2,2
45611,视,shì,动词,看,保护视力是每个人都需要重视的事情。,他站在山顶，俯瞰整个城市的美丽景色。,1,2,1
47812,标,biāo,名词,表面现象,治标不如治本。,这个问题不能只看表面现象，要深入分析其本质。,1,2,1
48213,速,sù,动词,邀请,那天晚上，家里突然来了一个不速之客，让我们措手不及。,校长速请各位老师到会议室参加紧急会议。,1,2,1
48811,约,yāo,动词,用秤测量重量,约一斤肉，用来做晚餐。,老板让伙计把刚到的水果约一约有多重。,1,2,1
49112,专,zhuān,动词,独自掌控,这种专制的管理方式让员工感到非常压抑。,这家公司专门生产高端电子产品，在行业内很有名。,2,1,1
51522,属,zhǔ,动词,(意念)集中在一点,她对这份工作早已属意已久。,他在演讲时目光如炬，始终属意于台下的每一位听众。,2,1,1
53317,客,kè,形容词,独立于人类意识而存在的,他是一个非常客观的人。,在哲学讨论中，客观存在与主观意识的关系常被提及。,2,1,2
55527,底,dǐ,动词,达到某种结果或状态,经过不懈的努力，我们终底于成，完成了这项艰巨的任务。,他的努力终于底于成功，获得了大家的认可。,1,2,1
56312,费,fèi,动词,消耗钱财,这件事让您费心了。,装修这套房子花费了我们整整三个月的时间。,1,2,2
58212,破,pò,动词,损坏,他决定破釜沉舟，背水一战。,孩子们在沙滩上玩耍，用树枝破开椰子取水喝。,1,2,1
59311,刚,gāng,形容词,坚硬或坚强,他性格刚强，从不轻易屈服。,这把刀的刀刃非常刚硬，可以轻松切开厚木板。,1,2,1
64122,曲,qū,动词,使物体弯曲,他喜欢在草地上曲肱而枕，享受自然风光。,他轻轻曲起手指，展示了一个优雅的手势。,1,2,1
64124,曲,qū,形容词,不公正或不合理,是非曲直，自有公论。,法官公正无私，从不曲断任何案件。,1,2,1
64213,既,jì,动词,完成；结束,食既之后，人们开始收拾餐具。,言未既，他突然站起身来离开了会议室。,1,2,2
65411,司,sī,动词,管理；经营,他是一名经验丰富的司机，驾驶技术一流。,总经理亲自司仪这场重要的签约仪式。,1,2,2
