definition_id,example_sn,example_cn,example_en,example_img
739011,1,一场大火使村上的许多农家破了产。,A big fire caused many farming households in the village to go bankrupt.,
739012,1,一场大火使村上的许多农家破了产。,A big fire caused many farming households in the village to go bankrupt.,
705311,1,一架中国国籍大型客机即将起飞。,A large passenger aircraft with Chinese nationality is about to take off.,
705312,1,一架中国国籍大型客机即将起飞。,A large passenger aircraft with Chinese nationality is about to take off.,
770011,1,"一次讲得太多,学生消化不了。","If too much is taught at once, students cannot absorb it all.",
770012,1,"一次讲得太多,学生消化不了。","If too much is taught at once, students cannot absorb it all.",
39611,1,万俟先生是我们学校新来的历史老师。,Mr. Moqi is the new history teacher at our school.,
2060043,1,万俟先生是我们学校新来的历史老师。,Mr. Moqi is the new history teacher at our school.,
60412,1,下午五点一刻开车。,The car departs at 5:15 PM.,
60413,1,下午五点一刻开车。,The car departs at 5:15 PM.,
648711,1,不要盲目追求数字。,Do not blindly pursue numbers.,
648712,1,不要盲目追求数字。,Do not blindly pursue numbers.,
648713,1,不要盲目追求数字。,Do not blindly pursue numbers.,
672311,1,专家们正在标点二十四史。,Experts are punctuating the Twenty-Four Histories.,
672312,1,专家们正在标点二十四史。,Experts are punctuating the Twenty-Four Histories.,
5234,1,世界上有两种人，一种是乐观主义者，另一种是悲观主义者。,There are two kinds of people in the world: optimists and pessimists.,
5235,1,世界上有两种人，一种是乐观主义者，另一种是悲观主义者。,There are two kinds of people in the world: optimists and pessimists.,
231222,1,丝杠是一种用于机械传动的零件，常用于将旋转运动转化为直线运动。,"A 丝杠 is a mechanical part used for power transmission, often converting rotary motion into linear motion.",
231223,1,丝杠是一种用于机械传动的零件，常用于将旋转运动转化为直线运动。,"A 丝杠 is a mechanical part used for power transmission, often converting rotary motion into linear motion.",
1612,1,中文是世界上使用人数最多的语言之一。,Chinese is one of the most spoken languages in the world.,
665211,1,中文是世界上使用人数最多的语言之一。,Chinese is one of the most widely spoken languages in the world.,
995911,1,为了帮助朋友逃脱，他主动打掩护。,"To help his friend escape, he volunteered to provide cover.",
995912,1,为了帮助朋友逃脱，他主动打掩护。,"To help his friend escape, he volunteered to provide cover.",
752011,1,为了验证这个假设，我们需要做实验。,"To verify this hypothesis, we need to conduct experiments.",
752012,1,为了验证这个假设，我们需要做实验。,"To verify this hypothesis, we need to conduct experiments.",
2013411,1,事情办完就塌实了。,"Once the matter is settled, everything will be fine.",
2013412,1,事情办完就塌实了。,"Once the matter is settled, everything will be fine.",
801311,1,事情在报上曝光后，引起了轰动。,"After the matter was exposed in the newspaper, it caused a sensation.",
801312,1,事情在报上曝光后，引起了轰动。,"After the matter was exposed in the newspaper, it caused a sensation.",
40412,1,五律是一种古典诗歌形式，讲究严格的韵律和格式。,Five-character regulated verse is a form of classical poetry that emphasizes strict rhythm and format.,
40413,1,五律是一种古典诗歌形式，讲究严格的韵律和格式。,Five-character regulated verse is a form of classical poetry that emphasizes strict rhythm and format.,
73614,1,亚洲是世界上面积最大、人口最多的大洲。,Asia is the largest and most populous continent in the world.,
2000056,1,亚洲是世界上面积最大、人口最多的大洲。,Asia is the world's largest and most populous continent.,
838911,1,人民是创造世界历史的动力。,The people are the driving force behind world history.,
838912,1,人民是创造世界历史的动力。,The people are the driving force behind world history.,
17715,1,今天的海面风平浪静，非常适合出海。,"The sea is calm today, very suitable for going out to sea.",
104611,1,今天的海面风平浪静，非常适合出海。,"Today's sea is calm and peaceful, making it perfect for going out to sea.",
389912,1,他一句话就把人家给噎回去了，让对方无言以对。,"With just one sentence, he left the other person speechless.",
389913,1,他一句话就把人家给噎回去了，让对方无言以对。,"With just one sentence, he left the other person speechless.",
33516,1,他们因为意见不合而绝交。,They broke off their friendship due to disagreements.,
65911,1,他们因为意见不合而绝交。,They broke off their friendship due to disagreements.,
69115,1,他利用业余时间学习编程，提升了自己的技能。,He used his spare time to study programming and improved his skills.,
776311,1,他利用业余时间学习编程，提升了自己的技能。,He used his spare time to study programming and improved his skills.,
75812,1,他对这个问题进行了深入的剖析。,He conducted an in-depth analysis of this issue.,
207512,1,他对这个问题进行了深入的剖析。,He conducted an in-depth analysis of this issue.,
1002311,1,他抑制不住内心的喜悦，脸上洋溢着幸福的笑容。,"He couldn't contain his inner joy, and his face was filled with a happy smile.",
1002312,1,他抑制不住内心的喜悦，脸上洋溢着幸福的笑容。,"He couldn't contain his inner joy, and his face was filled with a happy smile.",
319721,1,他撮了一簸箕土，准备用来填坑。,"He scooped a dustpan of soil, preparing to use it to fill the hole.",
319722,1,他撮了一簸箕土，准备用来填坑。,"He scooped a dustpan of soil, preparing to use it to fill the hole.",
920311,1,他是个内涵很深厚的青年。,He is a young man with profound inner depth.,
920312,1,他是个内涵很深厚的青年。,He is a young man with profound inner depth.,
568311,1,他是我的叔伯弟弟，我们从小一起长大。,"He is my cousin (younger brother from an uncle/aunt), and we grew up together.",
568312,1,他是我的叔伯弟弟，我们从小一起长大。,"He is my cousin (younger brother from an uncle/aunt), and we grew up together.",
725811,1,他正在气头上，我不想和他多理论，以免引发更大的冲突。,"He is very angry right now, and I don't want to argue with him to avoid causing a bigger conflict.",
725812,1,他正在气头上，我不想和他多理论，以免引发更大的冲突。,"He is very angry right now, and I don't want to argue with him to avoid causing a bigger conflict.",
719111,1,他每天都精力充沛地投入到工作中。,He throws himself into work every day with abundant energy.,
822911,1,他每天都精力充沛地投入到工作中。,He throws himself into work every day with abundant energy.,
565511,1,他画得也并不怎么样（=并不好），还需要继续努力提高。,"His painting isn't that great (= not very good), and he still needs to work hard to improve.",
565512,1,他画得也并不怎么样（=并不好），还需要继续努力提高。,"His painting isn't that great (= not very good), and he still needs to work hard to improve.",
682311,1,他的不安情绪迅速传染给了在座的人。,His anxiety quickly spread to the people present.,
682312,1,他的不安情绪迅速传染给了在座的人。,His anxiety quickly spread to the people present.,
802911,1,"他看见红光一闪,本能地闭上了眼睛。",He saw a flash of red light and instinctively closed his eyes.,
802912,1,"他看见红光一闪,本能地闭上了眼睛。",He saw a flash of red light and instinctively closed his eyes.,
53016,1,他试图推辞这次任务，但最终还是接受了。,"He tried to decline this task, but eventually accepted it.",
155217,1,他试图推辞这次任务，但最终还是接受了。,"He tried to decline this task, but eventually accepted it.",
45519,1,以农养牧，以牧促农，这种模式实现了农业和畜牧业的良性循环。,"Agriculture supports animal husbandry, and animal husbandry promotes agriculture. This model achieves a virtuous cycle between agriculture and animal husbandry.",
