hanzi,pinyin,definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
电视,diàn shì,553511,55351,1,"利用无线电波传送物体影像的装置。由发射台把实物的影像变成电能信号传播出去,电视机把收到的信号再变成影像映在荧光屏上。电视除了用在文化娱乐和教育方面外,也广泛地用在其他技术和军事方面。","television; TV; facility for transmitting visual images via radio wave. The launch pad transmits images in electric signals, which are converted back into images on the screen of a television set. Television is used extensively in military and other technologies, as well as for cultural, entertainment and educational purposes.",,,名词
东西,dōng xī,553721,55372,1,东边和西边。,east and west,,,名词
明天,míng tiān,558211,55821,1,今天的下一天。,tomorrow,,,名词
朋友,péng you,559111,55911,1,彼此有交情的人。,friend,,,名词
先生,xiān sheng,563311,56331,1,老师。,teacher,,,名词
先生,xiān sheng,563312,56331,2,对知识分子的称呼。,(of intellectuals) Mister (Mr.); gentleman; sir,,,名词
先生,xiān sheng,563314,56331,4,〈方dial.〉医生。,doctor,,,名词
星期,xīng qī,564111,56411,1,"中国古代历法把二十八宿按日、月、火、水、木、金、土的次序排列,七日一周,周而复始,称为‘七曜’;西洋历法中也有‘七日为一周’的说法,跟中国的‘七曜’暗合。后来根据国际习惯,把这样连续排列的七天作为工作学习等作息日期的计算单位,叫做星期。","week. In the ancient Chinese calendar, the 28 constellations are arranged in the order of the sun(日rì), the moon(月yuè), fire or the Mars(火huǒ), water or the Mercury(水shuǐ), wood or the Jupiter(木mù), metal or the Venus(金jīn) and earth or the Saturn(土tǔ) in a seven-day cycle dubbed ‘seven stars’, which coincides with the ‘seven-day week’ in the Western calendar. Thus the seven-day period becomes a measurement unit for work, study and rest according to the international practice, and it is called ‘week’.",,,名词
怎么样,zěn me yàng,565511,56551,1,怎样。,how about; what about,,,代词
弟弟,dì di,568311,56831,1,同父母(或只同父、只同母)而年纪比自己小的男子。,younger brother; younger half-brother,,,名词
哥哥,gē ge,569111,56911,1,同父母(或只同父、只同母)而年纪比自己大的男子。,elder brother (having the same parents or parent),,,名词
姐姐,jiě jie,570711,57071,1,同父母(或只同父、只同母)而年纪比自己大的女子。,elder sister; older girl or woman having the same parents or parent,,,名词
妹妹,mèi mei,573011,57301,1,同父母(或只同父、只同母)而年纪比自己小的女子。,younger sister of the same parent(s),,,名词
便宜,pián yi,573721,57372,1,价钱低。,cheap; at a bargain price,,,形容词
时间,shí jiān,574911,57491,1,"物质存在的一种客观形式,由过去、现在、将来构成的连绵不断的系统。是物质的运动、变化的持续性、顺序性的表现。","time; objective form in which matter exists, a continuous system composed of the past, present and future, which shows the nature of continuity and sequence in the movements and changes of matter",,,名词
