example_id,definition_id,example_sn,example_cn
1,3,1,小企业 发展 成了跨国公司 。
2,4,1,发展 党员
3,7,1,发展 经济
4,7,2,经济 学
5,7,3,农业 经济
6,9,1,家庭 经济 状况良好
7,9,2,他 经济 上并不宽裕 。
8,10,1,为这个项目投入那么多资金，很不 经济
9,10,2,大众饭菜 经济 实惠 。
10,12,1,我们 那口子挺会心疼人的 。
11,13,1,这就是 我们 要提出的问题 。
12,14,1,同志们， 我们 一定要注意安全 。
13,19,1,工作 到深夜
14,20,1,计算机开始 工作
15,21,1,咨询 工作
16,21,2,教学 工作
17,22,1,找 工作
18,23,1,你们要支持 他们
19,23,2,他们 俩是亲兄弟
20,24,1,代表广大 人民 的利益
21,24,2,人民 是国家的主人 。
22,25,1,回答老师三个 问题 。
23,26,1,物资供应已不成 问题
24,26,2,资金匮乏是个大 问题 。
25,27,1,问题 在于没有找到规律 。
26,28,1,开车十几年从来没有出过 问题 。
27,29,1,这种想法有 问题
28,29,2,心脏有 问题
29,30,1,进行 曲
30,31,1,进行 说服教育
31,31,2,事情 进行 得很顺利 。
32,33,1,社会 活 动
33,33,2,社会 调查
34,34,1,国际 往来
35,35,1,国际 准则
36,35,2,国际 公法
37,36,1,让我 自己 来吧
38,36,2,石头是 自己 滚下来的
39,36,3,把困难留给 自己
40,37,1,自己 人
41,37,2,自己 家里
42,39,1,满 世界 乱跑
43,40,1,大千 世界
44,41,1,世界 各国
45,41,2,全 世界
46,42,1,世界 观
47,43,1,儿童 世界
48,43,2,内心 世界
49,43,3,海底 世界
50,45,1,农贸 市场
51,46,1,农业 市场
52,46,2,文化 市场
53,46,3,欧洲 市场
54,47,1,伪科学在这里没有 市场 。
55,48,1,你叫 什么 名字?
56,48,2,她是你的 什么 人?
57,48,3,你有 什么 事?
58,49,1,随便吃点 儿 什么
59,49,2,外面好像有 什么 声音
60,49,3,我没有 什么 不放心的 。
61,50,1,金刚石比 什么 金属都硬
62,50,2,什么 困难也吓不倒我们 。
63,51,1,有 什么 就吃 什么
64,51,2,你要 什么 样的鞋，我就给你买 什么 样的 。
65,52,1,什么 !都8点了?
66,53,1,看 什么 电视，还不快做功课
67,53,2,嚷 什么 !大家都睡了
68,53,3,这是 什么 玩意 儿 !
69,54,1,什么 花呀，草呀，种了一院子 。
70,56,1,这个 学生真用功
71,56,2,我住 这个 房间
72,57,1,我要 这个 ，不要那个 。
73,58,1,大家 这个 一言，那个一语，提了许多意见 。
74,59,1,听说他要来，大伙 儿 这个 高兴啊!
75,60,1,这种车 可以 坐7个人 。
76,61,1,玉米秸秆 可以 做饲料 。
77,62,1,你不 可以 乱来
78,62,2,谁都 可以 提意见
79,63,1,这个电视剧倒 可以 看看 。
80,64,1,他普通话说得还 可以 。
81,65,1,饭量大得真够 可以 。
82,66,1,就是 ，我跟你的看法相同 。
83,67,1,随你怎么劝，我 就是 不愿意
84,67,2,这孩子 就是 聪明
85,67,3,伸手 就是 一巴掌
86,68,1,我们家 就是 两口人
87,68,2,就是 这种便宜，别的都贵 。
88,69,1,就是 砸锅卖铁，也要供孩子上学 。
89,70,1,您放心 就是 了
90,72,1,建设 理论体系
91,72,2,建设 桥梁
92,73,1,建设 大西北
93,74,1,搞好各项 建设
94,75,1,火车 已经 开了
95,75,2,情况 已经 清楚了
96,75,3,已经 80岁了
97,75,4,已经 小寒了，还这么暖和 。
98,76,1,全班 第一
99,76,2,第一 名
100,77,1,健康 第一
101,78,1,目前 形势很好
102,78,2,目前 的任务
103,79,1,华北 地区
104,79,2,受灾 地区
105,79,3,中东 地区
106,82,1,发包和承包两 方面
107,82,2,教育、科技、文化等 方面 。
108,83,1,斜纹 组织
109,83,2,平纹 组织
110,84,1,组织 队伍
111,84,2,组织 运动会
112,85,1,党 组织
113,85,2,服从 组织 分配
114,86,1,组织 涣散
115,86,2,组织 严密
116,88,1,重要 会议
117,88,2,重要 的是信誉
118,89,1,我 认为 他还有潜力 。
119,90,1,都是我的 不是
120,90,2,快去赔个 不是
121,91,1,做人要做 这样 的人
122,91,2,不能 这样 干
123,92,1,这样 才稳妥
124,92,2,事情怎么弄成 这样 了?
125,93,1,这些 人我一个也不认识
126,93,2,把 这些 东西都收起来 。
127,94,1,这些 就是我想说的 。
128,95,1,过去没发现， 现在 暴露出很多问题 。
129,96,1,有 一些 花开了
130,97,1,干 一些 轻活 儿
131,97,2,给他 一些 温暖
132,98,1,发表过 一些 文章
133,99,1,人走了 一些
134,99,2,态度好了 一些
135,100,1,管理 报刊资料
136,101,1,管理 俘虏
137,102,1,管理 学校
138,102,2,经营 管理
139,103,1,表示 同意
140,103,2,表示 愤慨
141,104,1,书名前带“*”号的 表示 是必读参考书 。
142,105,1,研究 水稻新品种
143,106,1,会议重点 研究 计划调整问题 。
144,107,1,科学 技术
145,107,2,电工 技术
146,107,3,学 技术
147,108,1,技术 过硬
148,109,1,他妻子快 生产 了
149,110,1,生产 粮食
150,110,2,商品 生产
151,111,1,这次事故与他 有关
152,111,2,有关 群众切身利益
153,111,3,有关 人员
154,113,1,她在做饭的 同时 ，还背诵英语单词 。
155,114,1,个子长高了， 同时 性格也更开朗了 。
156,115,1,秦兵马俑是中国艺术殿堂中的瑰宝， 同时 也是世界艺术宝库中的珍品 。
157,116,1,通过 敌人封锁线
158,116,2,运动员从主席台前 通过 。
159,117,1,大会 通过 了五项决议 。
160,118,1,他的调动需要 通过 组织部门 。
161,119,1,通过 调查研究取得材料
162,119,2,通过 翻译交谈
163,120,1,表演即将 开始
164,120,2,大风降温 开始 了
165,121,1,开始 练字
166,121,2,开始 修订
167,122,1,从不自满 开始
168,123,1,开始 我并不明白
169,124,1,朋友 关系
170,124,2,社会 关系
171,124,3,教育事业与社会发展的 关系 。
172,125,1,碰一下没 关系
173,125,2,这对工作很有 关系 。
174,126,1,这件事 关系 着事业的全局 。
175,127,1,由于健康 关系 他从一线退了下来 。
176,128,1,组织 关系 已转来
177,129,1,因为 他才引出了这么多麻烦
178,129,2,因为 考试的缘故急出了一场病 。
179,130,1,因为 雪太大，所以车不能开得太快
180,130,2,我 因为 学习忙，所以没有及时回信
181,130,3,他脸色不好， 因为 最近一直开夜车 。
182,131,1,职工 代表
183,132,1,私人 代表
184,132,2,公司 代表
185,133,1,我 代表 全家感谢您 。
186,134,1,这支曲子 代表 了他早期的风格 。
187,135,1,他是工人阶级的优秀 代表 。
188,136,1,本次修订 主要 从以下几个方面进行
189,136,2,担负 主要 责任
190,137,1,领导 群众奔小康
191,138,1,各级 领导 都要关心群众的生活
192,138,2,领导 班子
193,140,1,不改革开放，哪有 今天 的好生活?
194,141,1,成绩不能 成为 骄傲的资本 。
195,142,1,两人 合作 得很好
196,142,2,分工 合作
197,142,3,合作 施工
198,143,1,真实 情况
199,144,1,有 情况 要及时向连部报告 。
200,145,1,公安 人员
201,145,2,社会闲散 人员
202,146,1,顽强地 生活
203,147,1,社会 生活
204,147,2,考察野生动物的 生活 。
205,148,1,生活 水平
206,149,1,要求 大家给以支持
207,149,2,严格 要求
208,150,1,合理 要求
209,150,2,没有提什么 要求
210,151,1,活动 筋骨
211,151,2,每天到室外 活动 活动 。
212,152,1,桌子腿 儿 有点 儿 活动
213,152,2,铁锨把 儿 活动 了
214,152,3,听了大家的意见，他的思想也有点 儿 活动 。
215,153,1,他遇到麻烦了，你替他 活动 活动 吧 。
216,154,1,这人常在小区附近 活动 。
217,155,1,开展文娱 活动
218,156,1,活动 房屋
219,156,2,靶标分 活动 靶标和不 活动 靶标两种 。
220,157,1,政府各 部门
221,157,2,业务 部门
222,157,3,后勤 部门
223,158,1,举行 画展
224,158,2,举行 毕业典礼
225,159,1,让他改变看法是不 可能 的
226,159,2,在 可能 的条件下给予帮助 。
227,160,1,成功的 可能 很大
228,161,1,他 可能 了解情况
229,161,2,他个子 可能 高一些 。
230,162,1,农村工作 会议
231,163,1,中国人民政治协商 会议 。
232,164,1,一箭 中的
233,165,1,一语 中的
234,166,1,个人 爱好
235,166,2,个人 利益
236,167,1,这只是老刘 个人 的意见
237,167,2,我 个人 对此没意见 。
238,168,1,双手把奖杯举 起来 。
239,169,1,终于想 起来 了
240,170,1,掌声响 起来
241,170,2,做完准备活动，他便跑了 起来 。
242,171,1,看 起来 ，明天去不成了
243,171,2,这朵花不很美，闻 起来 却很香 。
244,172,1,苹果逐渐红 起来
245,172,2,身体慢慢好 起来
