definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
552511,55251,1,"盛饮料或其他液体的器具,多为圆柱状或下部略细,一般容积不大。","cup; glass; vessel for alcoholic drinks or other liquids of a small volume, usu. cylindrical or slightly tapered",,,名词
553511,55351,1,"利用无线电波传送物体影像的装置。由发射台把实物的影像变成电能信号传播出去,电视机把收到的信号再变成影像映在荧光屏上。电视除了用在文化娱乐和教育方面外,也广泛地用在其他技术和军事方面。","television; TV; facility for transmitting visual images via radio wave. The launch pad transmits images in electric signals, which are converted back into images on the screen of a television set. Television is used extensively in military and other technologies, as well as for cultural, entertainment and educational purposes.",,,名词
553512,55351,2,用上述装置传送的影像,television images,,,名词
553711,55371,1,泛指各种具体的或抽象的事物,thing; stuff; matter,,,名词
553712,55371,2,特指人或动物(多含厌恶或喜爱的感情,used to refer to a person or animal in either derogatory or affectionate way,,,名词
553721,55372,1,东边和西边。,east and west,,,名词
553722,55372,2,从东到西(距离),from east to west,,,名词
554011,55401,1,"对人有愧,常用为表示抱歉的套语",I'm sorry; sorry; excuse me; pardon me; I beg your pardon,,,动词
554211,55421,1,问数量,how many; how much,,,代词
554212,55421,2,表示不定的数量,[expressing an unspecified amount or number],,,代词
554221,55422,1,指数量的大小,number; amount,,,名词
554222,55422,2,或多或少,somewhat; more or less; to some extent,,,副词
554223,55422,3,稍微,a little; slightly,,,副词
554311,55431,1,男孩子(对父母而言),(in relation to parents) son,,,名词
554611,55461,1,"飞行的工具,由机翼、机身、发动机等构成。种类很多。广泛用在交通运输、军事、农业、探矿、测量等方面。","aircraft; airplane; aeroplane; plane; structure designed to travel through the air, composed of wings, body, engine, etc., widely used in transportation, military affairs, agriculture, prospecting, surveying, etc.",,,名词
554711,55471,1,愉快而兴奋,glad; happy; cheerful,,,形容词
554712,55471,2,带着愉快的情绪去做某件事;喜欢,be willing to; be happy to,,,动词
554911,55491,1,"从事体力或脑力劳动,也泛指机器、工具受人操纵而发挥生产作用","work, referring to manual or mental labour; (in a broad sense) functioning of a machine or tool operated by man; operate",,,动词
554912,55491,2,职业,job,,,名词
554913,55491,3,业务;任务,work,,,名词
555111,55511,1,"汉族的语言,是中国的主要语言。现代汉语的标准语是普通话。","Chinese; language spoken by the Han people, the major language spoken in China. The standard contemporary Chinese language is putonghua;",,,名词
555611,55561,1,空间或位置靠后的部分,at the back; in the rear; behind (in space or position),,,名词
555612,55561,2,次序靠后的部分;文章或讲话中后于现在所叙述的部分,(in a speech or an article) later (in order),,,名词
556211,55621,1,说话时的这一天,this day; today,,,名词
556212,55621,2,现在;目前,present time or age; today,,,名词
556611,55661,1,看到,catch sight of; see,,,动词
556911,55691,1,〈尊称honor.〉传授文化、技术的人。泛指在某方面值得学习的人。,"teacher; one who teaches, esp. one who is hired to teach knowledge or skills; (in a broad sense) one from whom there is much to learn",,,名词
557511,55751,1,母亲。,ma; mum; mummy; mother,,,名词
557512,55751,2,〈方dial.〉对上年纪的妇女的尊称。,[form of address for an elderly woman],,,名词
558011,55801,1,不要紧;不用顾虑。,doesn't matter; don't worry; never mind,,,其他
558111,55811,1,用大米或小米做成的饭。特指用大米做成的饭。,cooked rice or cooked millet; more said of cooked rice,,,名词
558211,55821,1,今天的下一天。,tomorrow,,,名词
558212,55821,2,不远的将来,near future,,,名词
558311,55831,1,"一个或几个字,跟姓合在一起,用来代表一个人,区别于别的人",name or given name; one or more than one character combined with a family name to represent a person and distinguish him or her from another,,,名词
558312,55831,2,"一个或几个字,用来代表一种事物,区别于别种事物",one or more than one character representing a thing and distinguishing it from other things,,,名词
559011,55901,1,女孩子(对父母而言)。,daughter,,,名词
559111,55911,1,彼此有交情的人。,friend,,,名词
559112,55911,2,指恋爱的对象,boyfriend; girlfriend,,,名词
559211,55921,1,好看;美观,sassy; nice-looking; pretty; beautiful,,,形容词
559212,55921,2,出色,remarkable; brilliant; outstanding; beautiful,,,形容词
559311,55931,1,"落叶乔木,叶子椭圆形,花白色带有红晕。果实圆形,味甜或略酸,是普通水果。","apple tree (Malus pumila); deciduous tree that has oval leaves and white flowers with a pink flush and that bears round, edible fruit, generally with a sweet or slightly tart taste",,,名词
559312,55931,2,这种植物的果实。,"apple, fruit of this plant",,,名词
559611,55961,1,空间或位置靠前的部分,in front; at the head; ahead; forward,,,名词
559612,55961,2,次序靠前的部分;文章或讲话中先于现在所叙述的部分,above; proceeding; afore-mentioned; forepart,,,名词
560111,56011,1,能够确定某一人或事物是这个人或事物而不是别的,recognize; know,,,动词
560112,56011,2,指人的头脑对客观世界的反映,(of human mind) understanding or knowledge (of the objective world),,,名词
560411,56041,1,在室内出售商品的场所,shop; store; indoor place where commodities are sold,,,名词
560611,56061,1,"指半夜十二点到正午十二点的一段时间,一般也指清晨到正午十二点的一段时间。",morning; period of time from 00:00 to 12:00 noon; usu. the period from daybreak to noon,,,名词
560911,56091,1,表示疑问。,[used in the interrogative],,,代词
560912,56091,2,"虚指,表示不确定的事物",[used to refer to anything indefinite],,,代词
560913,56091,3,任指。,[used to refer to things in general],,,代词
560914,56091,4,表示惊讶或不满,[used to express surprise or discontent],,,代词
560915,56091,5,表示责难,[used to express censure],,,代词
560916,56091,6,表示不同意对方说的某一句话,[used to indicate disagreement with what has been said],,,代词
560917,56091,7,"用在几个并列成分前面,表示列举不尽",[used before a number of coordinate elements to indicate an incomplete list],,,代词
561511,56151,1,"可以吃的含水分较多的植物果实的统称,如梨、桃、苹果等。","fruit; edible, succulent reproductive bodies of plants, e.g. pear, peach, apple, etc.",,,名词
561611,56161,1,进入睡眠状态,sleep,,,动词
561711,56171,1,用语言表达意思,speak; talk; say,,,动词
561713,56171,3,指责;非议,censure,,,动词
561714,56171,4,说话的一会儿时间,the short while it takes for one to speak,,,名词
561715,56171,5,〈方dial.〉话,word; talk,,,名词
561716,56171,6,"唐宋时代的一种民间技艺,以讲述故事为主,跟现在的说书相同。","folk art form popular during the Tang and Song dynasties, similar to what is known as professional storytelling today",,,名词
562311,56231,1,"一定区域一定时间内大气中发生的各种气象变化,如温度、湿度、气压、降水、风、云等的情况","weather; meteorological changes in the atmosphere over a given area at a given time, such as temperature, humidity, atmospheric pressure, precipitation, wind, cloud, etc.",,,名词
562312,56231,2,〈方dial.〉指时间;时候,time,,,名词
562511,56251,1,在同一个学校学习,be in the same school; be a schoolmate of sb.,,,动词
562512,56251,2,在同一个学校学习的人,fellow student; schoolmate,,,名词
562513,56251,3,称呼学生,[form of address used when speaking to a student],,,名词
562811,56281,1,〈代词pron.〉称包括自己在内的若干人。,[referring to several people including oneself] we; us,,,代词
563011,56301,1,对人或事物有好感或感兴趣,like; love; be fond of; be keen on,,,动词
563012,56301,2,愉快;高兴,happy; elated,,,形容词
563211,56321,1,"从正午十二点到半夜十二点的一段时间,一般也指从正午十二点到日落的一段时间。",afternoon; part of day from 12 a.m. to 12 p.m. but oft. from noon until sunset,,,名词
563311,56331,1,老师。,teacher,,,名词
563312,56331,2,对知识分子的称呼。,(of intellectuals) Mister (Mr.); gentleman; sir,,,名词
563313,56331,3,称别人的丈夫或对人称自己的丈夫(都带人称代词做定语,always preceded by a personal pronoun as the attribute,,,名词
563314,56331,4,〈方dial.〉医生。,doctor,,,名词
563315,56331,5,〈旧时old〉称管账的人,bookkeeper,,,名词
563316,56331,6,〈旧时old〉称以说书、相面、算卦、看风水等为业的人,"people engaged in storytelling, fortune-telling, feng shui, etc.",,,名词
563411,56341,1,"这个时候,指说话的时候,有时包括说话前后或长或短的一段时间(区别于‘过去’或‘将来’",as distinguished from ‘past’ or ‘future’,,,名词
563711,56371,1,〈旧时old〉有钱人家里仆人称主人的女儿。,(in a wealthy family) term used by servants for addressing a daughter of the master,,,名词
563712,56371,2,对年轻的女子的尊称。,young lady; Miss,,,名词
564011,56401,1,对别人的好意表示感谢。,thank sb. for his kindness,,,动词
