example_id,definition_id,example_sn,example_cn
1,1,1,我的书｜镀金的首饰｜幸福的童年
2,2,1,蓝蓝的天｜愁眉苦脸的样子
3,3,1,北京的、上海的都来了｜有大的、小的、中不溜儿的｜说的比唱的还好听。
4,4,1,你这样做是行不通的｜老王什么时候走的?
5,5,1,主任签的字｜回来坐的飞机｜他昨天夜里犯的病｜我在上海念的中学。
6,6,1,的证（确凿的证据）｜的确
7,7,1,众矢之的｜有的放矢｜一语破的｜目的
8,8,1,打的
9,9,1,去图书馆借了一本书｜人又老了许多
10,10,1,小王来信了｜都四月份了，天还这么冷｜天快亮了｜要是不走就见到他了。
11,11,1,又了了（le）一桩心事｜没完没了｜敷衍了事｜一了百了
12,12,1,干得了｜去得了｜这病好不了
13,13,1,好了，不要说话了｜别干了
14,14,1,太不应该了!｜太棒了，一枪打中10环。
15,15,1,了如指掌｜一目了然｜明了
16,16,1,了无痕迹
17,17,1,《红楼梦》的作者是曹雪芹｜李白是唐朝人｜这本书是我的
18,18,1,人家是丰年，我们是歉年｜刘老师是近视眼
19,19,1,沿街是一排商店｜屋子里全是人
20,20,1,他的手艺是很高超的｜我是不会干这种事的。
21,21,1,是，我明白｜是，我马上就办
22,22,1,你是喝啤酒，还是喝白酒?｜他是走了不是?｜他不是来了吗?
23,23,1,这间房子是太小｜他见解是高明｜我是有事，不是偷懒。
24,24,1,是父母把我们养育大的｜是下雨了，我不骗你。
25,25,1,这姑娘打扮得多漂亮，头是头，脚是脚｜丁是丁，卯是卯｜说是说，做是做
26,26,1,不懂就是不懂，不要装懂｜事实总是事实
27,27,1,朋友是朋友，原则还得坚持｜东西好是好，就是太贵。
28,28,1,走一步是一步｜给多少是多少
29,29,1,你来得正是时候｜这柜子放得不是地方。
30,30,1,是学生就应该好好学习｜是活儿他都肯干
31,31,1,是可忍，孰不可忍!｜如是
32,32,1,唯利是图｜唯才是举
33,33,1,你说得是｜一无是处｜似是而非｜你要检点一些才是。
34,34,1,实事求是｜莫衷一是｜各行其是
35,35,1,是古非今｜深是其言
36,36,1,我有一个苹果。｜他考了第一名。
37,37,1,咱们坐一趟车｜他俩在一个单位｜长短不一
38,38,1,一组八个人｜一年一次｜一人两块钱
39,39,1,一天晚上｜有一年
40,40,1,坐了满满一车人｜一身土｜书堆了一桌子｜病了一夏天｜一如所见
41,41,1,一心一意｜一色的两层小楼
42,42,1,乌贼一名墨斗鱼｜这种习俗起源于唐代，一说起源于宋代。
43,43,1,跳一跳｜笑一笑｜瞧一瞧｜说一说
44,44,1,一叫就来｜一看就会｜一问便知
45,45,1,往起一站｜右手一挥｜眼前一黑
46,46,1,乐谱上写着一。
47,47,1,他在看书｜红旗在飘扬
48,48,1,在屋里看书｜列车在夜间到达｜在工作上认真负责。
49,49,1,他在教室里呢｜在场｜在座
50,50,1,人在阵地在｜父母健在
51,51,1,在职｜在野｜在党
52,52,1,谋事在人，成事在天｜事在人为
53,53,1,不走｜不吃｜不漂亮｜不太好｜不一定
54,54,1,咱们走吧!——不，我再等会儿｜他来开会吧?——不，他不能来
55,55,1,走不走?｜漂亮不漂亮?
56,56,1,你看书不?｜手绢儿干净不?
57,57,1,不见不散｜不言不语｜不多不少｜不男不女
58,58,1,不法｜不轨｜不力
59,59,1,不客气｜不谢｜不送
