definition_id,example_sn,example_cn,example_en,example_img
14614,1,"吃服(fù)药表一表,出身汗。",Take medicine to draw out the cold and induce perspiration.,
73613,1,硫酸亚铁(FeSO?),ferrisulphas,
73613,2,亚氨基(=NH),imino group,
73613,3,亚硫酸(H?SO?)。,sulphurous acid,
127213,1,穷?num>10.蛭鋥use all one's armed might to wage war; wantonly engage in military ventures}穷目远望。,look as far as one's eyes can see,
134211,1,"这排房子的房顶都苫好了,就等着瓦瓦(wǎ)了。","With their roofs already covered with straw mats, this row of dwellings are ready for tiling.",
149615,1,惠鉴,[a conventional phrase used after the salutation in a letter] for your gracious perusal; be kind enough to read (the following letter),
149615,2,台鉴,[a form used after the name in the salutation of a business letter] Dear Mr. so-and-so; May I draw your attention to the following.,
149615,3,钧鉴。,[a conventional phrase used in the salutation in formal letters addressed to a superior] I wish to draw Your Excellency's attention.,
157512,1,"螺丝母勚(yì)了,咬不住。",The nut is worn and won't catch.,
186011,1,小孩ㄦ又尿(niào)了一泡尿。,The child has pissed again!,
196313,1,谶(chèn)纬。,divination combined with mystical Confucianist belief,
387211,1,号(háo)啕。,howl; yowl,
430921,1,伛(yǔ)偻。,with one's back bent,
511311,1,毁家纾难(nàn)。,give all one has to help the state meet the crisis,
511411,1,same as根深柢固,gēn shēn dì gù,
550821,1,"砉然嚮(响)然,奏刀(huō)然(见《庄子·养生主》)。","the loud sound of tearing the skin from the bone, and the cracking sound of cutting with a knife (see Zhuangzi·Nourishment of the Soul)",
2620,1,在英语中，动词的过去时通常要加-ed后缀。,"In English, the past tense of verbs usually requires adding the -ed suffix.",
19417,1,这道方程式的解是x=5，同学们都算对了吗？,The solution to this equation is x=5. Did all the students get it right?,
47022,1,他因为疏忽，把钱包落（lào）在了出租车上。,"Due to negligence, he left his wallet in the taxi.",
66121,1,“谁”这个字在口语中常被读作“shéi”。,The character '谁' is often pronounced as 'shéi' in colloquial speech.,
102421,1,妈妈在菜市场仔细地择(zhái)着新鲜的菠菜。,Mom is carefully picking fresh spinach at the vegetable market.,
102515,1,庄(zhuāng)教授是我们学校最受尊敬的历史学专家。,Professor Zhuang is the most respected history expert at our school.,
102813,1,皇(huáng)女士是我们公司新聘请的财务总监。,Ms. Huang is the new financial director hired by our company.,
103011,1,中医常用缩(sù)砂密来治疗消化不良的症状。,Traditional Chinese medicine often uses Amomum villosum to treat indigestion symptoms.,
103112,1,化学实验中我们测试了多种盐(yán)类化合物的导电性。,"In the chemistry experiment, we tested the conductivity of various salt compounds.",
167412,1,臣(chén)以为，减免赋税方能安抚民心。,This humble subject believes that only by reducing taxes can we pacify the people.,
167512,1,这个分子的直径大约是十埃(āi)，需要电子显微镜才能观察。,The diameter of this molecule is about ten angstroms and requires an electron microscope to observe.,
178921,1,这种方言中，'络'读作'lào'，意思和'luò'相同。,"In this dialect, '络' is pronounced as 'lào', with the same meaning as 'luò'.",
310912,1,她每天早餐都要喝一杯新鲜的橙汁，补充维生素C。,She drinks a glass of fresh orange juice every morning to supplement vitamin C.,
431911,1,嘧啶是合成维生素B1的重要化学原料。,Pyrimidine is an important chemical raw material for synthesizing vitamin B1.,
535321,1,这个字在古文中有时读作‘惝’(tǎng)，但现代多用chǎng音。,"This character is sometimes pronounced as 'tǎng' in ancient texts, but 'chǎng' is more commonly used nowadays.",
