rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
10002,1,骆驼,luò tuo,,,名,哺乳动物，颈长，身体高大，毛褐色，四肢细长，蹄扁平，背上有一或两个驼峰，耐饥渴高温。性温驯，能负重在沙漠中长途行走，号称“沙漠之舟”,骆驼在沙漠中行走｜骆驼的驼峰储存脂肪,camel
10003,1,诗句,shī jù,,,名,诗歌中的句子；借指诗歌作品,这首诗的诗句很美｜他喜欢背诵诗句,verse line
10004,1,平行,píng xíng,,,动,同一平面内的两条直线永不相交，称这两条直线互相平行；两个平面之间或一条直线与一个平面之间永不相交，也称为互相平行,两条铁轨互相平行｜这两条线是平行的,be parallel
10004,2,平行,píng xíng,,,形,同时发生的,多种经济成分平行发展。,concurrent
10004,3,平行,píng xíng,,,形,等级相同、互不隶属的,县级市和县是平行的｜平行单位,parallel
10004,4,平行,píng xíng,,,动,（公文）发向平级,该文件平行于10个部委。,send to peer institutions
10005,1,恐龙,kǒng lóng,,,名,中生代（地质年代名称，指距今2.5亿年至6500万年间）的一种爬行动物。种类很多，体型各异，大的长达数十米，体重可达四五十吨；中生代末期灭绝,恐龙生活在远古时代｜孩子们喜欢恐龙玩具,dinosaur
10006,1,政治权利,zhèng zhì quán lì,,,,我国现行法律指公民依法参加国家政治生活的权利，是公民基本权利的重要组成部分。如选举权和被选举权，言论、出版、集会、结社、游行、示威自由的权利，担任国家机关职务的权利，担任国有公司、企事业单位和人民团体领导职务的权利,公民享有政治权利｜选举权是重要的政治权利,political rights
10007,1,变相,biàn xiàng,,,形,指形式变了而实质没变的（多指不好的事）,变相涨价｜变相走私,disguised
10009,1,千古,qiān gǔ,,,名,久远的年代,千古流传｜千古罪人,remote ages
10009,2,千古,qiān gǔ,,,动,婉词，多用于挽联、花圈等的上款，意为永别,"千古永别，令人悲痛｜花圈上写着""千古""",be eternally departed
10010,1,必不可少,bì bù kě shǎo,,,,一定不能缺少,水是必不可少的｜勤奋是成功必不可少的,indispensable
10011,1,多极,duō jí,,,形,多元的；多方面并存的,世界正在走向多极｜多极社会,multipolar
10012,1,支行,zhī háng,,,名,银行系统在分行下设立的独立营业部门,工商银行支行,sub-branch
10013,1,起事,qǐ shì,,,动,发动武装起义,秦朝末年，陈涉率先起事。,stage an uprising
10014,1,牧场,mù chǎng,,,名,放牧牲畜的草场,牛羊在牧场吃草｜这片牧场很辽阔,pasture
10014,2,牧场,mù chǎng,,,名,以牧养牲畜为主的企业单位,他在牧场工作｜这个牧场养了很多牛,livestock farm
10015,1,眼珠,yǎn zhū,,,名,【眼球】视觉器官的主体部分。人的眼球呈球状，藏在眼眶内，前面凸出，外部由角膜、巩膜、脉络膜、视网膜等薄膜构成，内部有水状液、晶状体和玻璃体，前面中央有一个圆形的瞳孔。俗称眼珠子,他的眼珠很黑｜眼珠能转动,eyeball
10016,1,娘子,niáng zǐ,,,名,〈口〉指妻子,他带着娘子回家｜这是我娘子,wife
10016,2,娘子,niáng zǐ,,,名,旧时对中青年已婚女子的尊称（多见于早期白话）,这位娘子很贤惠｜娘子请留步,madam
10017,1,抉择,jué zé,,,动,选定；选择,两条路由你抉择｜顽抗还是投降，必须马上抉择。,choose
10018,1,败坏,bài huài,,,动,损坏（风气、声誉等）,败坏社会风气｜败坏名誉,damage
10018,2,败坏,bài huài,,,形,（道德、品行等）极坏；十分恶劣,道德败坏,corrupt
10020,1,音乐家,yīn yuè jiā,,,名,从事音乐工作，并获得较高成就的人,他是著名音乐家｜音乐家在演奏,musician
10021,1,难民营,nàn mín yíng,,,名,专门收容难民，供他们暂时生活的处所,难民营里住着难民｜他们在难民营生活,refugee camp
10022,1,解放战争,jiě fàng zhàn zhēng,,,,被压迫的阶级或民族为获得解放而进行的战争；特指我国第三次国内革命战争,解放战争取得胜利｜解放战争时期,war of liberation
10025,1,体改,tǐ gǎi,,,动,体制改革的简称,体改工作在进行｜推进体改很重要,restructure the system
10026,1,低谷,dī gǔ,,,名,比喻不兴旺的状态；最低点,经济走出了低谷,low ebb
10026,2,低谷,dī gǔ,,,名,低洼的谷地,经济处于低谷｜走出人生低谷,low-lying valley
10028,1,城堡,chéng bǎo,,,名,有围墙便于防守的小城,城堡建在山顶｜这座城堡很古老,castle
10029,1,造价,zào jià,,,名,制造或建造所需的费用,这栋楼房造价很高｜工程造价,cost of production
10030,1,疯牛病,fēng niú bìng,,,名,牛海绵状脑病的俗称。一种潜伏期很长的慢性传染病，多见于成年牛。症状为四肢僵硬、体重下降、惊恐等。可传染给人。20世纪80年代中期首先在英国发现,疯牛病很可怕｜预防疯牛病传播,mad cow disease
10031,1,紧要,jǐn yào,,,形,紧急重要,紧要任务｜紧要环节,critical
10032,1,本行,běn háng,,,名,自己所从事的工作,三句话不离本行,one's own profession
10032,2,本行,běn háng,,,名,长期从事的已经熟悉的行业,他调动后还是干他的本行。,one's original trade
10033,1,聘用,pìn yòng,,,动,聘请使用,聘用管理人才,employ
10034,1,怀有,huái yǒu,,,动,内心存有,怀有善良愿望,harbor
10036,1,难说,nán shuō,,,动,说不准,到底是怎么回事，很难说。,hard to say
10036,2,难说,nán shuō,,,动,有所顾虑，有话而不便说出,事已至此，难说也要说。,hesitate to speak out
10037,1,单边,dān biān,,,形,由单独一方参加的,单边行动,unilateral
10037,2,单边,dān biān,,,名,图案四周勾的单线边框,画了个单边边框｜单边线条很细,single-line border
10038,1,好听,hǎo tīng,,,形,（声音）听起来让人舒服、愉快,轻音乐好听｜唱得非常好听,pleasant-sounding
10038,2,好听,hǎo tīng,,,形,（话语）听起来让人舒服、满意,好听的话未必中肯｜话是挺好听的，就是不照办。,pleasant to hear
10038,3,好听,hǎo tīng,,,形,光彩，体面,这是家丑，传扬出去不好听。,honorable
10039,1,收缩,shōu suō,,,动,（物体）缩小或缩短,心脏收缩时输出血液。,shrink
10039,2,收缩,shōu suō,,,动,紧缩；由分散变为集中,收缩战线,concentrate
10040,1,口服,kǒu fú,,,动,把药物吃进去,这药需要口服｜口服药很方便,take orally
10040,2,口服,kǒu fú,,,动,嘴上说信服,口服心不服,profess to be convinced
10041,1,抚摸,fǔ mō,,,动,用手轻轻地接触并慢慢地来回移动,抚摸着白鸽光滑的羽毛。,stroke
10042,1,地名,dì míng,,,名,城市、乡镇、街道、村落等各个地方的专有名称,这个地名很特别｜地名要记清楚,place name
10044,1,长老,zhǎng lǎo,,,名,对住持僧或年长僧人的尊称,寺庙长老在讲经｜拜见长老,elder monk
10044,2,长老,zhǎng lǎo,,,名,基督教某些教派中协助牧师管理教务的人,他是教会长老｜长老协助牧师,church elder
