hanzi,definition_id,definition_cn,example_cn
电视,diàn shì,553511,"利用无线电波传送物体影像的装置。","我家新买了一台大电视。"
东西,dōng xī,553721,"东边和西边。","这条马路东西走向。"
明天,míng tiān,558211,"今天的下一天。","明天我要去上学。"
朋友,péng you,559111,"彼此有交情的人。","他是我的好朋友。"
先生,xiān sheng,563311,"老师。","张先生是我们的数学老师。"
先生,xiān sheng,563312,"对知识分子的称呼。","这位先生很有学问。"
先生,xiān sheng,563314,"〈方dial.〉医生。","王先生是位老中医。"
星期,xīng qī,564111,"七日为一周的时间单位。","下星期我要出差。"
怎么样,zěn me yàng,565511,"怎样。","你觉得这部电影怎么样？"
弟弟,dì di,568311,"同父母的年纪比自己小的男子。","我弟弟在上小学。"
哥哥,gē ge,569111,"同父母的年纪比自己大的男子。","我哥哥比我大五岁。"
姐姐,jiě jie,570711,"同父母的年纪比自己大的女子。","姐姐帮我辅导功课。"
妹妹,mèi mei,573011,"同父母的年纪比自己小的女子。","妹妹很可爱。"
便宜,pián yi,573721,"价钱低。","这家店的衣服很便宜。"
时间,shí jiān,574911,"物质存在的客观形式。","时间过得真快。"
运动,yùn dòng,579121,"物体位置变化的现象。","小球在做直线运动。"
运动,yùn dòng,579122,"宇宙间的一切变化过程。","生命在于运动。"
阿姨,ā yí,580711,"〈方dial.〉母亲的姐妹。","阿姨给我买了礼物。"
锻炼,duàn liàn,586911,"锻造或冶炼。","工人们在锻炼钢铁。"
检查,jiǎn chá,591812,"翻检查考(书籍、文件等)。","老师正在检查作业。"
街道,jiē dào,592711,"旁边有房屋的道路。","街道两旁种满了树。"
太阳,tài yáng,601511,"银河系的恒星之一。","太阳从东方升起。"
文化,wén huà,603611,"人类创造的精神财富。","中国文化源远流长。"
文化,wén huà,603612,"考古学术语。","这个遗址属于仰韶文化。"
游戏,yóu xì,607411,"娱乐活动。","孩子们在玩捉迷藏游戏。"
成熟,chéng shú,614311,"生物体发育完备。","这些苹果已经成熟了。"
肚子,dù zi,618621,"腹的通称。","我肚子有点疼。"
感觉,gǎn jué,622411,"客观事物在人脑中的反应。","我感觉有点冷。"
工具,gōng jù,623211,"生产劳动使用的器具。","锤子是常用的工具。"
关键,guān jiàn,624311,"门闩或类似物品。","这是大门的关健。"
广播,guǎng bō,624711,"通过电波传送节目。","我每天听新闻广播。"
基础,jī chǔ,628011,"建筑物的根脚。","这座楼的基础很牢固。"
交通,jiāo tōng,630612,"运输和邮电事业。","城市交通很拥堵。"
交通,jiāo tōng,630613,"战争时期的通信联络。","他负责地下交通工作。"
交通,jiāo tōng,630614,"指交通员。","老王是我们的交通。"
教育,jiào yù,631011,"培养新生代的过程。","义务教育很重要。"
经济,jīng jì,632111,"社会物质生产活动。","经济发展很快。"
科学,kē xué,633711,"反映客观规律的知识体系。","我们要相信科学。"
空气,kōng qì,634311,"地球周围的气体。","空气很清新。"
老虎,lǎo hǔ,635711,"虎的通称。","动物园里有老虎。"
老虎,lǎo hǔ,635713,"指贪污盗窃的人。","那个贪官是个大老虎。"
判断,pàn duàn,640111,"思维的基本形式。","他的判断很准确。"
皮肤,pí fū,640411,"身体表面的组织。","她的皮肤很白。"
起飞,qǐ fēi,641511,"(飞机等)开始飞行。","飞机准时起飞了。"
气候,qì hòu,641711,"多年气象情况。","这里气候温和。"
师傅,shī fu,646511,"传授技艺的人。","他跟师傅学手艺。"
数字,shù zì,648711,"表示数目的文字。","请用大写数字填写。"
数字,shù zì,648712,"表示数目的符号。","阿拉伯数字很常用。"
速度,sù dù,649511,"运动物体单位时间通过的距离。","汽车的速度很快。"
文章,wén zhāng,653411,"篇幅不长的单篇作品。","他写了一篇好文章。"
文章,wén zhāng,653412,"泛指著作。","他发表过很多文章。"
消息,xiāo xi,655211,"关于人或事物的报道。","我听到一个好消息。"
兴奋,xīng fèn,656111,"振奋激动。","他兴奋得跳了起来。"
兴奋,xīng fèn,656112,"大脑皮层神经活动过程。","这个药物会引起兴奋。"
压力,yā lì,657011,"物体承受的垂直作用力。","这个容器承受很大压力。"
艺术,yì shù,659011,"用形象反映现实的社会意识形态。","他很有艺术天赋。"
语法,yǔ fǎ,661111,"语言的结构方式。","英语语法很难。"
语言,yǔ yán,661211,"人类交流思想的工具。","汉语是美丽的语言。"
知识,zhī shi,664111,"人类认识经验的总和。","知识就是力量。"
职业,zhí yè,664411,"作为生活来源的工作。","教师是崇高的职业。"
质量,zhì liàng,665111,"量度物体惯性的物理量。","这个产品质量很好。"
重点,zhòng diǎn,665311,"阻力点的旧称。","这是问题的重点。"
组织,zǔ zhī,667214,"机体的构成单位。","肌肉是一种组织。"
保险,bǎo xiǎn,670211,"补偿损失的方法。","我买了人身保险。"
背景,bèi jǐng,670711,"舞台或影视的布景。","这个背景很漂亮。"
背景,bèi jǐng,670712,"图画中衬托主体的景物。","照片以大海为背景。"
标点,biāo diǎn,672311,"标点符号。","作文要正确使用标点。"
玻璃,bō lí,673111,"透明脆硬的材料。","窗户玻璃擦得很干净。"
测验,cè yàn,676211,"用仪器检验。","明天有数学测验。"
翅膀,chì bǎng,680211,"翅的通称。","小鸟拍打着翅膀。"
抽象,chōu xiàng,680911,"从具体事物中抽取本质属性。","这个概念很抽象。"
出口,chū kǒu,681312,"(船只)驶出港口。","货轮即将出口。"
传染,chuán rǎn,682311,"病原体侵入生物体。","这种病会传染。"
刺激,cì jī,683311,"物体作用于感觉器官。","强光刺激眼睛。"
待遇,dài yù,685811,"对待(人)。","他受到很好的待遇。"
单位,dān wèi,686311,"计量标准量名称。","厘米是长度单位。"
地理,dì lǐ,688712,"地理学。","他喜欢研究地理。"
独立,dú lì,690413,"军队编制不隶属上级单位。","这是一个独立营。"
反应,fǎn yìng,693411,"有机体对刺激的相应活动。","他对药物有过敏反应。"
反应,fǎn yìng,693412,"化学反应。","这是酸碱中和反应。"
反应,fǎn yìng,693413,"打针服药引起的症状。","接种后会有发热反应。"
钢铁,gāng tiě,698211,"钢和铁的合称。","我国钢铁产量很高。"
革命,gé mìng,699111,"被压迫阶级夺取政权。","十月革命影响深远。"
古典,gǔ diǎn,701711,"典故。","这篇文章引用很多古典。"
骨头,gǔ tou,702111,"支持身体的坚硬组织。","狗喜欢啃骨头。"
国籍,guó jí,705311,"属于某个国家的身份。","他持有中国国籍。"
果实,guǒ shí,705411,"植物受精后形成的器官。","树上结满了果实。"
豪华,háo huá,706311,"生活过分铺张。","他过着豪华的生活。"
呼吸,hū xī,707811,"生物体气体交换。","深呼吸有助于放松。"
化学,huà xué,708811,"研究物质组成的科学。","化学实验很有趣。"
黄金,huáng jīn,709511,"金的通称。","黄金价格最近上涨。"
价值,jià zhí,713311,"商品里的社会必要劳动。","这件文物很有价值。"
角度,jiǎo dù,716111,"角的大小。","从不同角度看问题。"
进口,jìn kǒu,718811,"(船只)驶进港口。","货轮正在进口。"
经典,jīng diǎn,719213,"宗教的根本性著作。","圣经是基督教经典。"
理论,lǐ lùn,725811,"概括实践的系统结论。","这个理论很有说服力。"
零钱,líng qián,727911,"币值小的钱。","我有些零钱在口袋里。"
领域,lǐng yù,728311,"国家行使主权的区域。","这是我国领海领域。"
落后,luò hòu,729612,"工作进度迟缓。","这个项目落后于计划。"
馒头,mán tou,729911,"发酵面粉蒸成的食品。","早餐吃了一个馒头。"
毛病,máo bìng,730211,"器物发生的故障。","这台机器有点毛病。"
矛盾,máo dùn,730312,"辩证法指对立统一关系。","这是一个矛盾的问题。"
矛盾,máo dùn,730313,"形式逻辑指互相排斥的概念。","这两个命题是矛盾的。"
民主,mín zhǔ,732211,"人民参与国事的权利。","我们要发扬民主。"
明星,míng xīng,732611,"古书上指金星。","启明星很明亮。"
疲劳,pí láo,737411,"体力消耗过多需要休息。","工作一天很疲劳。"
