rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
15011,1,松树,sōngshù,,,名,【松】松树，一般为常绿乔木。树皮多为鳞片状，常有树脂，叶子针形，果实球形、卵形或圆柱形。种类很多，常见的有马尾松、油松、黑松、白皮松等。木材用途广，树脂可供医药和工业用，松子可榨油或食用,
15092,1,胡须,húxū,,,名,【胡子】嘴周围（有的连着鬓角）长的毛,
15173,1,拱手,gǒngshǒu,,,动,【拱】两手在胸前合抱，表示敬意,拱手而立｜拱手相让
15239,1,建构,jiàngòu,,,动,【建立】使形成；使产生（多用于抽象事物）,建构理论框架｜建构新机制
15319,1,白银,báiyín,,,名,【银】金属元素，符号Ag。白色，有光泽，质软，富延展性，导电导热性能极好，化学性质稳定，在空气中不易氧化。用于电镀，也用于制造货币、首饰等。通称银子、白银的通称。古代用作货币,
15413,1,喝醉,hēzuì,,,动,【醉】饮酒过量而不能自持,
15476,1,蛋清,dànqīng,,,名,【蛋白】禽类等的卵中，包在蛋黄周围的透明胶状物质，主要成分是蛋白质,
15538,1,转口,zhuǎnkǒu,,,动,【改口】改变原来的说法或语气,
15697,1,评述,píngshù,,,动,【述评】叙述并评论,
15697,2,评述,píngshù,,,名,【述评】叙述并评论的文章,
15732,1,火炮,huǒpào,,,名,【炮】原指用机械发射石头或用火药发射铁弹丸的武器；现指口径在两厘米以上，能发射爆炸弹头的重型射击武器。,
15738,1,一水儿,yīshuǐr,,,形,【一色】整齐划一的；不混杂其他颜色、种类或式样的,
15840,1,把子,bàzi,,,名,【把】器物上供握持的部分,
15923,2,抽水,chōushuǐ,,,动,【抽头】设赌局的人从赢家赢得的钱里抽取一部分钱；泛指获取不正当的好处,禁止强行向摊主抽水。
15923,3,抽水,chōushuǐ,,,动,【缩水】某些纺织品浸水后因纤维吸水而收缩,
15979,1,折断,zhéduàn,,,动,【折】断；使断,不小心把尺子折断了。
16035,1,底子,dǐzi,,,名,【底】物体最下面的部分,木箱底子
16035,5,底子,dǐzi,,,名,【底】衬托花纹图案的一面,一件白底子蓝碎花儿的小褂。
16035,6,底子,dǐzi,,,名,【底】东西所剩下的最后部分,货底子｜油底子
16069,1,森严,sēnyán,,,形,【威严】威武而严肃,气象森严
16110,2,回音,huíyīn,,,名,答复的音信；【回信】回复的信；答复的话,
16177,1,妹子,mèizi,,,名,〈口〉【妹】妹妹；亲戚中同辈而年龄比自己小的女子。,
16202,1,应考,yìngkǎo,,,动,【应试】参加考试,
16439,2,作难,zuònán,,,动,【为难】感到难办,这件事实在让人作难。
16439,3,作难,zuònán,,,动,【为难】给别人造成困难；刁难（nàn）,这不是处处作难人家吗?
16484,1,爬行,páxíng,,,动,【爬】人胸腹朝下，手脚并用向前移动；昆虫、爬行动物等向前移动,
16740,1,先人,xiānrén,,,名,【祖先】民族或家族的上代；特指年代比较久远的先辈,杨家的先人是从南京迁到北京来的。
16768,1,知心,zhīxīn,,,形,【知己】了解自己、跟自己情谊深厚的,知心朋友｜他俩很知心
16787,1,称谓,chēngwèi,,,名,【称呼】当面招呼或背后指称时用的体现彼此关系或对方身份、地位、职业的名称。如老师、师傅、厂长等,
16894,2,套房,tàofáng,,,名,【套间】与正房相连的配间；也指相连的两间屋子中靠里面的一间，一般没有直通外面的门（跟“单间”相区别）,
16944,2,推倒,tuīdǎo,,,动,【推翻】彻底否定已有的说法、结论、决定等,
16963,2,牌号,páihào,,,名,【牌】企业为自己的产品所取的专用名称；商标,这种牌号的洗衣机销路很好。
17085,1,尖子,jiānzi,,,名,【尖】物体细小锐利的一端,
17124,1,一朝,yīzhāo,,,名,【一旦】指不确定的某一天，表示忽然出现或可能忽然出现,一朝权在手，便把令来行。
17137,1,盾牌,dùnpái,,,名,【盾】古代兵器，用来遮挡敌方刀箭,
17159,1,假说,jiǎshuō,,,名,【假设】科学研究上指根据某些现象概括出来有待证明的解释或论断,
17655,1,低矮,dī'ǎi,,,形,【低】矮；由下往上的距离短（跟“高”相对）,低矮的灌木丛
17703,2,绝地,juédì,,,名,【绝境】没有任何出路的境地,敌军已陷于孤立无援的绝地。
17740,2,转载,zhuǎnzài,,,动,【过载】把货物或旅客从一个运输工具上转移到另一个运输工具上,
17764,1,总称,zǒngchēng,,,动,【统称】总括起来叫做,
17764,2,总称,zǒngchēng,,,名,【统称】总括起来的名称,
17909,1,通路,tōnglù,,,名,【通道】大路；人或物通过的路径。,
17973,1,驹子,jūzi,,,名,【驹】初生的马、骡、驴,马驹子
17995,1,管子,guǎnzi,,,名,【管】泛指细长中空的圆筒,
17996,2,正道,zhèngdào,,,名,【正路】为人处事的正当途径,
18027,1,拍打,pāida,,,动,【拍】用手掌或片状物打,
18088,1,玉石,yùshí,,,名,【玉】硬玉、软玉两类矿物的统称。质地细腻，坚韧而有光泽，可用作雕刻的材料或制成装饰品,盛产玉石｜玉石佛像
18092,1,自若,zìruò,,,形,【自如】保持常态，镇定自然,
18095,1,星辰,xīngchén,,,名,【星】天空中除太阳、月亮以外，用肉眼或望远镜可以看到的发光的天体的统称,星辰布满夜空
18129,1,肾脏,shènzàng,,,名,【肾】人和高等脊椎动物的主要排泄器官。功能是吸收血液中的水分和废物，形成尿液，以排出体外。人的肾位于腹后壁腰椎两旁，左右各一个,
18142,1,背负,bēifù,,,动,【背】用背（bèi）驮,背负孩子上楼
18167,2,急迫,jípò,,,形,【急促】快速而短促,
18201,1,痛楚,tòngchǔ,,,形,【痛苦】肉体或精神感到非常难受,
18229,1,上体,shàngtǐ,,,名,【上身】身体的上半部,
18348,1,迎头,yíngtóu,,,动,【迎面】对着脸,迎头赶上
18470,1,插嘴,chāzuǐ,,,动,【插话】在别人说话过程中插进去说,
