definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
2620,261,10,"一种语法范畴, 表示动词所指动作在什么时候发生。很多语言的动词分现在时、过去时和将来时,有些语言分得更细。","(gram.) tense; grammatical category indicating the time of the action expressed by the verb; verbs in many languages are divided into the present, past or future tenses, while in others, there are even more tenses",,,名词
14614,1461,4,俗称用药物把感受的风寒发散出来,administer medicine to bring out the cold,,,动词
19417,1941,7,代数方程式中未知数的值，例如x+16=0，x=-16，-16就是x+16=0这个方程的解。,"solution; value of an unknown quantity in an algebra equation, e.g. x＋16=0, therefore x=-16, which is the solution to the equation",,,名词
47022,4702,1,同“落”（luò）。,same as 落,,,动词
66121,6612,1,‘谁’ shéi 的又音。,variant pronunciation for 谁 shéi,,,代词
73613,7361,3,原子价较低的;酸根或化合物中少含一个氢原子或氧原子的,of lower atomic valence; acid radical or compound minus one hydrogen or oxygen atom,,,形容词
102421,10242,1,"义同‘择’(zé),用于以下各条。",having the same meaning as 择 zé and used in the following entries,,,动词
102515,10251,5,(Zhuāng)姓。,a surname,,,名词
102813,10281,3,(Huáng)姓。,a surname,,,名词
103011,10301,1,"[缩砂密](sùshāmì)多年生草本植物,叶子条状披针形,花粉色,蒴果椭圆形。种子棕色,椭圆形,有三个棱,入药叫砂仁。原产越南、缅甸、印度尼西亚等地。","cocklebur-like amomun (Amomum xanthioides); herbaceous perennial with striped lanceolate leaves, pink flowers, oval-shaped capsules bearing brown oval seeds with three ridges, called sharen when used in traditional Chinese medicine, found in Vietnam, Myanmar, and Indonesia;",,,名词
103112,10311,2,"由金属离子(包括铵离子)和酸根离子组成的化合物。常温时一般为晶体,绝大多数是强电解质,在水溶液中和熔融状态下都能电离。","salt; chemical compound made up of metal ions (ammonium ions included) and acid radical ions, generally in a crystalline form under normal temperatures, and mostly being strong electrolytes capable of ionization when dissolved in water",,,名词
127213,12721,3,用尽;费尽,exhaust; use up,,,动词
134211,13421,1,盖(瓦),tile (a roof),,,动词
149615,14961,5,"旧式书信套语,用在开头的称呼之后,表示请人看信",[old-fashioned rhetoric usu. used in the opening phrase of a letter],,,动词
157512,15751,2,钳子等夹住或齿轮、螺丝等互相卡住,"(of gears, screws, etc.) bite; catch; (of pincers) grip",,,动词
167412,16741,2,官吏对皇帝上书或说话时的自称。,[how a court official referred to himself when addressing the emperor] I; your vassal,,,名词
167512,16751,2,长度单位，一埃等于一亿分之一厘米。主要用来计算光波等的波长。这个单位名称是为纪念瑞典物理学家埃斯特朗而定。,"angstrom, unit of linear measure. One angstrom equals one tenth of a millimicron or one ten-millionth of a millimetre, primarily used to express electromagnetic wavelengths. This unit of length is named after the Swedish physicist Anders Jonas ╖ngstr╗m (1814-1874).",,,名词
178921,17892,1,义同‘络’(luò)。,same as络 luò in meaning,,,动词
186011,18601,1,"人或动物体内,由肾脏产生,从尿道排泄出来的液体",urine; fluid excreted by the kidney and discharged from the urethra,,,名词
196313,19631,3,纬书的简称,Abbr. for纬书wěishū,,,名词
310912,31091,2,这种植物的果实。,fruit of the orange tree,,,名词
387211,38721,1,哭,wail,,,动词
430921,43092,1,弯曲(指身体),hunchbacked; bent,,,形容词
431911,43191,1,"[嘧啶](mìdìng)有机化合物,化学式C?H?N?。无色液体或结晶物质,有刺激性气味。用来制化学药品。","pyrimidine (C?H?N?), organic chemical compound in the form of a colourless liquid or crystal with an irritant odour, used in making chemicals",,,名词
511311,51131,1,解除,relax; relieve; remove,,,动词
511411,51141,1,树根,root of a tree,,,名词
535321,53532,1,‘惝’(chǎng)的又音。,another pronunciation of 惝 chǎng,,,其他
550821,55082,1,皮骨相离的声音,sound of tearing the skin from the bone,,,拟声词
