definition_id,example_sn,example_cn,example_en,example_img
131,3,定语和中心词之间是领属关系,[when the attribute indicates possession],
131,6,"定语是人名或人称代词,中心词是表示职务或身份的名词,意思是这个人担任这个职务或取得这个身份","[when the attribute is a personal pronoun or name, and the modified noun indicates role or position]",
131,9,"定语是指人的名词或人称代词,中心词和前边的动词合起来表示一种动作,意思是这个人是所说的动作的受事","[when the attribute is a personal pronoun or noun standing for a person, and the modified noun indicates the action received by the former]",
132,3,指某一种人或物,[indicate a class or category of people or things],
132,7,表示某种情况,[emphasize what precedes it],
132,10,"用跟主语相同的人称代词加‘的’字做宾语, 表示别的事跟这个人无关或这事ㄦ跟别人无关",[indicate that there is no connection between a person and a matter or between the matter and other people],
132,12,"推的推,拉的拉","[used between identical verbs, adjectives, etc., to constitute a sequence of contrasts]",
133,4,[注意]NOTE:这个用法限于过去的事情。,This usage is restricted only to things that happened in the past.,
236,4,笑一声,[used between a verb and a verbal measure],
239,3,"[注意]NOTE:‘一’字单用或在一词一句末尾念阴平,如‘十一、一一得一’,在去声字前念阳平,如‘一半、一共’,在阴平、阳平、上声字前念去声,如‘一天、一年、一点’。本词典为简便起见,条目中的‘一’字,都注阴平。","When used alone, or used at the end of a word or sentence, 一is pronounced with the first tone, e.g. 十一 shíyī and 一一得一 yī yī dé yī; when used before a character with a falling tone, 一 is pronounced with the second tone, e.g. 一半 yíbàn and 一共 yígòng; when used before a character with the first, second or third tone, it is pronounced with the fourth tone, e.g. 一天 yìtiān, 一年 yìnián, and 一点 yìdiǎn; for convenience, 一 in all the entries is marked with the first tone.",
316,1,《阿Q正传》的作者是鲁迅,The author of The True Story of Ah Q is Lu Xun.,
428,4,"[注意]NOTE:在去声字前面,‘不’字读阳平声,如‘不会’、‘不是’。","said in rising tone when followed by words with falling tone, e.g.不会 (can-not), or不是 (not)",
511,3,用于预期的或假设的动作,[used for an anticipated or presupposed action],
512,5,表示在某种条件之下出现某种情况,[indicating a certain situation under certain conditions],
512,8,表示认识、想法、主张、行动等有变化,"[indicating a change in one's understanding, idea, view or action]",
512,11,表示催促或劝止,[indicating a request or a command],
911,6,单用,[used independently],
911,9,"[注意]NOTE:在口语里,‘这’单用或者后面直接跟名词时,说zhè;‘这’后面跟量词或数词加量词时,常常说zhèi。以下【这程子】、【这个】、【这会ㄦ】、【这些】、【这样】各条在口语里都常常说zhèi-。","In spoken language, when 这 is used inde-pendently or followed directly by a noun, it is pronounced ‘zhè’; when 这 is followed by a classifier or a numeral plus a classifier, it is pronounced ‘zhèi’; in the following examples of 这程子zhèchéng·zi, 这个zhè·ge, 这会ㄦzhèhuìr, 这些zhèxiē and 这样zhèyàng, it ispronounced ‘zhèi-’.",
1131,2,"〈古arch.〉又同‘太’‘泰’(tài),如‘大子’‘大山’。","same as 太tài and 泰tài, such as 大子‘crown prince’ and 大山‘huge mountain’",
1222,6,see【以来】,yǐlái,
1521,4,用于约数的前面,[preceding an approximate number],
1521,7,"用于带宾语的动词后面,有表示动量的作用(原来不能用‘个’的地方也用‘个’)",[used between a verb and its object to indicate momentum; orig. 个 gè was not used],
1521,9,"用于动词和补语的中间,使补语略带宾语的性质(有时跟‘得’连用)",[used between a verb and its complement sometimes together with 得·de],
2211,5,"[注意]NOTE:名词前有数量词时,后面不加‘们’,例如不说‘三个孩子们’。","们 is not used after a noun that has a numeral modifier in front, so 三个孩子 (three children), not 三个孩子们.",
2619,3,"[注意]NOTE:‘时…时…’后面通常用单音词,‘时而…时而…’没有限制。","时(shí)...时... is usu. followed by monosyllables, while 时而(shí'ér) ... 时而 ... has no restrictions.",
3036,3,see‘能’,néng,
3211,5,加在形容词或动词性词素后,[used after an adjective or verb],
