reranked_order,definition_id,example_sn,example_cn,example_en,example_img,pinyin_id,hanzi,frequency_rank
1,111,1,我们的目的是为了更好地服务大家。,Our purpose is to better serve everyone.,,11,的,1
2,121,1,这位老者的言行举止都透露着的的确确的智慧。,The words and actions of this elderly man reveal genuine wisdom.,,12,的,1
3,131,1,军队必须要有铁的纪律才能打胜仗。,The army must have iron discipline in order to win battles.,,13,的,1
4,133,1,谁买的这本书？,Who bought this book?,,13,的,1
5,134,1,你放心，这件事我一定会帮你解决的。,"Don't worry, I will definitely help you solve this matter.",,13,的,1
6,132,1,桌子上摆着红的、黄的、绿的各种颜色的水果。,"There are fruits of various colors on the table, such as red, yellow, and green.",,13,的,1
7,135,1,破铜烂铁的，他捡来一大筐，准备卖掉换钱。,"He picked up a big basket of scrap metal, planning to sell it for money.",,13,的,1
8,136,1,这间屋子是五米的三米，合十五平方米，足够一个人居住。,"This room is five meters by three meters, totaling fifteen square meters, enough for one person to live in.",,13,的,1
9,233,1,番茄一名西红柿，是一种非常常见的蔬菜。,"Tomato, also known as 'Xi Hong Shi', is a very common vegetable.",,23,一,2
10,240,1,这首曲子以“宫商角徵羽”五音为基础，一音一调都恰到好处。,"This piece is based on the five notes 'Gong, Shang, Jue, Zhi, Yu,' with each note and tone perfectly placed.",,23,一,2
11,231,1,他只用了一分钟就解出了这道复杂的数学题。,He solved this complex math problem in just one minute.,,23,一,2
12,232,1,对待所有学生应该一视同仁，不分彼此。,"All students should be treated equally, without distinction.",,23,一,2
13,237,1,他一跳跳了过去，轻松越过了那道障碍。,He jumped over the obstacle easily in one leap.,,23,一,2
14,236,1,走了一天路，我们决定歇一歇再继续前进。,"After walking all day, we decided to take a break before continuing.",,23,一,2
15,235,1,他一心一意地专注于自己的事业。,He devoted himself wholeheartedly to his career.,,23,一,2
16,234,1,这个村庄整个一冬都被大雪覆盖。,The entire village was covered with snow all winter.,,23,一,2
17,239,1,他的进步一何速也，令人刮目相看。,"How rapid his progress is, making people look at him with new eyes.",,23,一,2
18,238,1,一失足成千古恨，他后悔自己当初的选择。,A single misstep became an eternal regret; he regrets his initial choice.,,23,一,2
19,562811,1,我们计划周末一起去郊游，你要加入吗？,"We are planning to go on an outing together this weekend, would you like to join us?",,56281,我们,3
20,321,1,诗是好诗，就是长了点，读起来需要耐心。,"It's a good poem, just a bit long, so it requires patience to read.",,31,是,4
21,324,1,他想的很是路，总能找到解决问题的办法。,"His thoughts are very practical, and he can always find ways to solve problems.",,31,是,4
22,326,1,我打听清楚了，他那天是没去，这让我松了一口气。,"I found out clearly that he didn't go that day, which made me feel relieved.",,31,是,4
23,313,1,是，我知道这件事情的来龙去脉。,"Yes, I know the ins and outs of this matter.",,31,是,4
24,325,1,你是吃米饭是吃面？今天咱们就来个简单的选择吧。,Do you eat rice or noodles? Let's make a simple choice today.,,31,是,4
25,316,1,这本书是我最喜欢的生日礼物，因为它充满了知识。,This book is my favorite birthday gift because it is full of knowledge.,,31,是,4
26,322,1,是谁告诉你的？这个问题让我很好奇。,Who told you? This question makes me very curious.,,31,是,4
27,323,1,是有利于群众的事情他都肯干，这种精神值得我们学习。,"He is willing to do anything that benefits the masses, and this spirit is worth learning from us.",,31,是,4
28,314,1,是先生是我们学校的校长，大家都非常尊敬他。,"Mr. Shi is the principal of our school, and everyone respects him very much.",,31,是,4
29,311,1,这个人一无是处，做什么都不成功。,This person is good for nothing and fails at everything he does.,,31,是,4
30,315,1,如是，我便不再多问了。,"If that's the case, I won't ask any more questions.",,31,是,4
31,312,1,有些人总是喜欢是古非今，认为过去的一切都比现在好。,"Some people always prefer the past to the present, thinking that everything in the past was better than today.",,31,是,4
