duplicate_type,duplicate_value,count,definition_ids,example_sns
Chinese text,一场大火使村上的许多农家破了产。,2,"739011,739012","1,1"
Chinese text,一架中国国籍大型客机即将起飞。,2,"705311,705312","1,1"
Chinese text,"一次讲得太多,学生消化不了。",2,"770011,770012","1,1"
Chinese text,万俟先生是我们学校新来的历史老师。,2,"39611,2060043","1,1"
Chinese text,下午五点一刻开车。,2,"60412,60413","1,1"
Chinese text,不要盲目追求数字。,3,"648711,648712,648713","1,1,1"
Chinese text,专家们正在标点二十四史。,2,"672311,672312","1,1"
Chinese text,世界上有两种人，一种是乐观主义者，另一种是悲观主义者。,2,"5234,5235","1,1"
Chinese text,丝杠是一种用于机械传动的零件，常用于将旋转运动转化为直线运动。,2,"231222,231223","1,1"
Chinese text,中文是世界上使用人数最多的语言之一。,2,"1612,665211","1,1"
Chinese text,为了帮助朋友逃脱，他主动打掩护。,2,"995911,995912","1,1"
Chinese text,为了验证这个假设，我们需要做实验。,2,"752011,752012","1,1"
Chinese text,事情办完就塌实了。,2,"2013411,2013412","1,1"
Chinese text,事情在报上曝光后，引起了轰动。,2,"801311,801312","1,1"
Chinese text,五律是一种古典诗歌形式，讲究严格的韵律和格式。,2,"40412,40413","1,1"
Chinese text,亚洲是世界上面积最大、人口最多的大洲。,2,"73614,2000056","1,1"
Chinese text,人民是创造世界历史的动力。,2,"838911,838912","1,1"
Chinese text,今天的海面风平浪静，非常适合出海。,2,"17715,104611","1,1"
Chinese text,他一句话就把人家给噎回去了，让对方无言以对。,2,"389912,389913","1,1"
Chinese text,他们因为意见不合而绝交。,2,"33516,65911","1,1"
Chinese text,他利用业余时间学习编程，提升了自己的技能。,2,"69115,776311","1,1"
Chinese text,他对这个问题进行了深入的剖析。,2,"75812,207512","1,1"
Chinese text,他抑制不住内心的喜悦，脸上洋溢着幸福的笑容。,2,"1002311,1002312","1,1"
Chinese text,他撮了一簸箕土，准备用来填坑。,2,"319721,319722","1,1"
Chinese text,他是个内涵很深厚的青年。,2,"920311,920312","1,1"
Chinese text,他是我的叔伯弟弟，我们从小一起长大。,2,"568311,568312","1,1"
Chinese text,他正在气头上，我不想和他多理论，以免引发更大的冲突。,2,"725811,725812","1,1"
Chinese text,他每天都精力充沛地投入到工作中。,2,"719111,822911","1,1"
Chinese text,他画得也并不怎么样（=并不好），还需要继续努力提高。,2,"565511,565512","1,1"
Chinese text,他的不安情绪迅速传染给了在座的人。,2,"682311,682312","1,1"
Chinese text,"他看见红光一闪,本能地闭上了眼睛。",2,"802911,802912","1,1"
Chinese text,他试图推辞这次任务，但最终还是接受了。,2,"53016,155217","1,1"
Chinese text,以农养牧，以牧促农，这种模式实现了农业和畜牧业的良性循环。,2,"45519,45520","1,1"
Chinese text,伯乐正在相马，希望能找到千里马。,3,"13024,13025,13027","1,1,1"
Chinese text,"你关照食堂一声,给开会的人留饭。",2,"863212,863213","1,1"
Chinese text,你判断得很正确，事情果然如此。,2,"640111,640112","1,1"
Chinese text,你这个家伙真会开玩笑。,2,"880811,880812","1,1"
Chinese text,做好事不图回报。,2,"873911,873912","1,1"
Chinese text,兄弟我刚到这里，请多多关照。,3,"773311,773312,773313","1,1,1"
Chinese text,党团组织在学校中发挥了重要的思想引领作用。,2,"667214,667215","1,1"
Chinese text,冒顿单于是匈奴历史上著名的军事统帅。,2,"137311,2060010","1,1"
Chinese text,军队、警察、法庭对于敌对阶级是一种暴力。,2,"801411,801412","1,1"
Chinese text,几个孩子正在大树底下游戏。,2,"607411,607412","1,1"
Chinese text,几个朋友聚在一起神聊海哨，度过了愉快的夜晚。,2,"230314,230315","1,1"
Chinese text,刀刃都锈了，显然很久没有使用过了。,2,"268611,268612","1,1"
Chinese text,制定正确的方略是成功的关键。,2,"6119,76914","1,1"
Chinese text,劳动果实是辛勤工作的回报。,2,"705411,705412","1,1"
Chinese text,勤劳善良的人民，是社会的中坚与础石。,2,"2041411,2041412","1,1"
Chinese text,北京是中国的首都，也是政治和文化的中心。,2,"7121,648111","1,1"
Chinese text,医生正在进行解剖以查明死因。,2,"19411,207511","1,1"
Chinese text,卑鄙龌龊的行为令人不齿。,2,"473311,473312","1,1"
Chinese text,古代刑罚中，斧锯鼎镬（指古代残酷的刑具）是常见的工具。,2,"506111,506112","1,1"
Chinese text,古代的皇室通常会慎重选择立嗣，以确保权力平稳过渡。,2,"19016,19017","1,1"
Chinese text,吓，怎么能这样呢！真是太让人失望了。,2,"160021,160022","1,1"
Chinese text,国徽象征着国家的尊严和权威。,2,"2512,231111","1,1"
Chinese text,圆孔用圆锉锉一锉，使其更加光滑。,2,"442711,442712","1,1"
Chinese text,在创业的路上，我们需要披荆斩棘，克服重重困难。,2,"299211,299212","1,1"
Chinese text,地球自转一周的时间是二十四小时。,2,"574911,574912","1,1"
Chinese text,"天还冷,看见树枝发绿才意识到已经是春天了。",2,"1001611,1001612","1,1"
Chinese text,太古时期的世界充满了神秘色彩。,2,"33312,50411","1,1"
Chinese text,太阳能是一种清洁的可再生能源，对环境非常友好。,2,"3812,734911","1,1"
Chinese text,她早有去农村参加农业生产的思想。,2,"755811,755812","1,1"
Chinese text,"如果光从自己的角度来看问题,意见就难免有些片面。",2,"716111,716112","1,1"
Chinese text,始祖鸟是鸟类的祖先。,2,"793511,793512","1,1"
Chinese text,姑娘多大了，有朋友了没有？这是亲戚们常问的问题。,2,"559111,559112","1,1"
Chinese text,婚礼上的傧相负责协助新人完成仪式。,2,"13031,13032","1,1"
Chinese text,学习先进经验是提高生产的重要因素之一。,2,"778111,778112","1,1"
Chinese text,实践出真知，只有通过实际操作才能真正掌握知识。,2,"751611,751612","1,1"
Chinese text,宸章（帝王写的文章）展现了古代君王的文学才华。,2,"528011,528012","1,1"
Chinese text,"小张当了劳动模范,咱全村都很光彩。",2,"864011,864012","1,1"
Chinese text,尽量控制非生产性的支出。,2,"1019911,1019912","1,1"
Chinese text,展望美好的明天，我们充满了信心和希望。,2,"558211,558212","1,1"
Chinese text,工人阶级是最革命的阶级。,2,"699111,699112","1,1"
Chinese text,市场销售情况的信息不断反馈到工厂，帮助改进生产。,3,"845511,845512,845513","1,1,1"
