pinyin_id,hanzi,pinyin,definition_id,definition_sn,definition_cn,example_sn,example_cn
204591,渲染,xuàn rǎn,2045911,1,"国画的一种画法,用水墨或淡的色彩涂抹画面,以加强艺术效果。",1,"一件小事情,用不着这么渲染。"
73901,破产,pò chǎn,739011,1,"债务人不能偿还债务时,法院根据本人或债权人的申请,做出裁定,把债务人的财产变价依法归还各债主,其不足之数不再偿付。",1,一场大火使村上的许多农家破了产。
62241,感觉,gǎn jué,622411,1,"客观事物的个别特性在人脑中引起的反应,如苹果作用于我们的感官时,通过视觉可以感到它的颜色,通过味觉可以感到它的味道。感觉是最简单的心理过程,是形成各种复杂心理过程的基础。",1,一场秋雨过后就感觉有点冷了。
70531,国籍,guó jí,705311,1,指个人具有的属于某个国家的身份。,1,一架中国国籍大型客机即将起飞。
77001,消化,xiāo huà,770011,1,"食物在人或动物体内,经过物理和化学作用而变为能够溶解于水并可以被机体吸收的养料。",1,"一次讲得太多,学生消化不了。"
93231,气象,qì xiàng,932311,1,"大气的状态和现象,例如刮风、闪电、打雷、结霜、下雪等。",1,一片新气象。
93231,气象,qì xiàng,932312,2,,1,一片新气象。
77771,意义,yì yì,777711,1,语言文字或其他信号所表示的内容。,3,一部富有教育意义的影片。
84641,方位,fāng wèi,846411,1,方向。东、南、西、北为基本方位;东北、东南、西北、西南为中间方位。,1,"下着大雨,辨不清方位。"
79891,包袱,bāo fu,798911,1,包衣服等东西的布。,2,不能把赡养父母看成是包袱。
79891,包袱,bāo fu,798912,2,用布包起来的包儿。,2,不能把赡养父母看成是包袱。
63431,空气,kōng qì,634311,1,"构成地球周围大气的气体。无色,无味,主要成分是氮气和氧气,还有极少量的氡、氦、氖、氩、氪、氙等惰性气体和水蒸气、二氧化碳等。",2,不要人为地制造紧张空气。
64871,数字,shù zì,648711,1,"表示数目的文字。汉字的数字有小写大写两种,‘一二三四五六七八九十’等是小写,‘壹贰叁肆伍陆柒捌玖拾’等是大写。",1,不要盲目追求数字。
64871,数字,shù zì,648712,2,"表示数目的符号,如阿拉伯数字、苏州码子。",1,不要盲目追求数字。
86231,骨干,gǔ gàn,862311,1,"长骨的中央部分,两端跟骨骺相连,里面是空腔。",3,业务骨干。
88821,解剖,jiě pōu,888211,1,"为了研究人体或动植物体各器官的组织构造,用特制的刀、剪把人体或动植物体剖开。",1,严于解剖自己。
95121,师范,shī fàn,951211,1,师范学校的简称。,1,为世师范。
99801,野蛮,yě mán,998011,1,不文明;没有开化。,2,举止野蛮。
88611,焦点,jiāo diǎn,886111,1,某些与椭圆、双曲线或抛物线有特殊关系的点。如椭圆的两个焦点到椭圆上任意一点的距离的和是一个常数。,1,争论的焦点。
88611,焦点,jiāo diǎn,886112,2,平行光线经透镜折射或曲面镜反射后的会聚点。,1,争论的焦点。
80131,曝光,bào guāng,801311,1,使照相底片或感光纸感光。,1,"事情在报上曝光后,引起了轰动。"
63061,交通,jiāo tōng,630612,2,各种运输和邮电事业的总称。,2,交通官府。
63061,交通,jiāo tōng,630613,3,抗日战争和解放战争时期指通信和联络工作。,2,交通官府。
63061,交通,jiāo tōng,630614,4,指交通员。,2,交通官府。
73261,明星,míng xīng,732611,1,古书上指金星。,3,交际明星。
81651,产业,chǎn yè,816511,1,土地、房屋、工厂等财产(多指私有的,3,产业革命。
74541,人事,rén shì,745411,1,人的离合、境遇、存亡等情况。,3,人事安排。
94121,人格,rén gé,941211,1,人的性格、气质、能力等特征的总和。,1,人格高尚。
83891,动力,dòng lì,838911,1,"使机械作功的各种作用力,如水力、风力、电力、畜力等。",1,人民是创造世界历史的动力。
60151,太阳,tài yáng,601511,1,银河系的恒星之一，是一炽热的气体球，体积是地球的130万倍，质量是地球的33.34万倍，表面温度约6000℃，内部温度约1500万℃，内部经常不断地进行原子核反应而产生大量的热能。太阳是太阳系的中心天体，距地球约1.5亿公里。地球和其他行星都围绕着它旋转并且从它得到光和热。,1,今天太阳很好。
56411,星期,xīng qī,564111,1,"中国古代历法把二十八宿按日、月、火、水、木、金、土的次序排列,七日一周,周而复始,称为‘七曜’;西洋历法中也有‘七日为一周’的说法,跟中国的‘七曜’暗合。后来根据国际习惯,把这样连续排列的七天作为工作学习等作息日期的计算单位,叫做星期。",3,今天星期几?
73031,矛盾,máo dùn,730312,2,辩证法上指客观事物和人类思维内部各个对立面之间的互相依赖而又互相排斥的关系。,1,他俩的意见有矛盾。
73031,矛盾,máo dùn,730313,3,形式逻辑中指两个概念互相排斥或两个判断不能同时是真也不能同时是假的关系。,1,他俩的意见有矛盾。
88501,将军,jiāng jūn,885013,3,,1,"他当众将了我一军,要我表演舞蹈。"
100231,抑制,yì zhì,1002311,1,"大脑皮层的两种基本神经活动过程之一。是在外部或内部刺激下产生的,作用是阻止皮层的兴奋,减弱器官机能的活动。睡眠就是大脑皮层全部处于抑制的现象。",1,他抑制不住内心的喜悦。
92031,内涵,nèi hán,920311,1,"一个概念所反映的事物的本质属性的总和,也就是概念的内容。例如‘人’这个概念的内涵是能制造工具并使用工具进行劳动的动物。",1,他是个内涵很深厚的青年。
72581,理论,lǐ lùn,725811,1,人们由实践概括出来的关于自然界和社会的知识的有系统的结论。,1,"他正在气头上,我不想和他多理论。"
97961,牺牲,xī shēng,979611,1,为祭祀宰杀的牲畜。,3,他牺牲在战场上。
68231,传染,chuán rǎn,682311,1,"病原体侵入生物体,使生物体产生病理反应,叫做传染。有明显症状的叫显性传染,无明显症状的叫隐性传染。",1,他的不安情绪迅速传染给了在座的人。
89221,境界,jìng jiè,892211,1,土地的界限。,2,他的演技已经达到出神入化的境界。
80291,本能,běn néng,802911,1,"人类和动物不学就会的本领,如初生的婴儿会哭会吃奶,蜂酿蜜等都是本能的表现。",1,"他看见红光一闪,本能地闭上了眼睛。"
86321,关照,guān zhào,863212,2,"互相照应,全面安排。",1,"你关照食堂一声,给开会的人留饭。"
64011,判断,pàn duàn,640111,1,"思维的基本形式之一,就是肯定或否定某种事物的存在,或指明它是否具有某种属性的思维过程。在形式逻辑上用一个命题表达出来。",1,你判断得很正确
73451,脑袋,nǎo dai,734511,1,,1,"你的脑袋真好使,几十年前的事还能记得。"
88081,家伙,jiā huo,880811,1,指工具或武器。,1,你这个家伙真会开玩笑。
203611,低回,dī huí,2036111,1,徘徊(huái)。,1,使人低回不忍离去。
87391,回报,huí bào,873911,1,报告(任务、使命等执行的情况)。,1,做好事不图回报。
202211,傀儡,kuǐ lěi,2022111,1,木偶戏里的木头人。,1,傀儡政权。
77331,兄弟,xiōng di,773311,1,弟弟。,1,"兄弟我刚到这里,请多多关照。"
77331,兄弟,xiōng di,773312,2,称呼年纪比自己小的男子(亲切口气)。,1,"兄弟我刚到这里,请多多关照。"
83941,动员,dòng yuán,839411,1,"把国家的武装力量由和平状态转入战时状态,以及把所有的经济部门(工业、农业、运输业等)转入供应战争需要的工作。",2,"全体动员,大搞卫生。"
95871,水利,shuǐ lì,958711,1,利用水力资源和防止水的灾害。,1,兴修水利。
65611,兴奋,xīng fèn,656111,1,振奋;激动。,1,兴奋剂。
65611,兴奋,xīng fèn,656112,2,"大脑皮层的两种基本神经活动过程之一,是在外部或内部刺激之下产生的。兴奋引起或增强皮层和相应器官机能的活动状态,如肌肉的收缩、腺体的分泌等。",1,兴奋剂。
95941,思维,sī wéi,959411,1,"在表象、概念的基础上进行分析、综合、判断、推理等认识活动的过程。思维是人类特有的一种精神活动,是从社会实践中产生的。",1,再三思维。
80141,暴力,bào lì,801411,1,强制的力量;武力。,1,军队、警察、法庭对于敌对阶级是一种暴力。
101461,占有,zhàn yǒu,1014611,1,占据。,1,农业在国民经济中占有重要地位。
68581,待遇,dài yù,685811,1,对待(人)。,2,冷淡的待遇。
83841,冻结,dòng jié,838411,1,液体遇冷凝结;使物体受冻凝结。,1,冻结存款。
85351,负担,fù dān,853511,1,承当(责任、工作、费用等)。,3,减轻负担。
60741,游戏,yóu xì,607411,1,"娱乐活动,如捉迷藏、猜灯谜等。某些非正式比赛项目的体育活动如康乐球等也叫游戏。",1,几个孩子正在大树底下游戏。
68131,出口,chū kǒu,681312,2,(船只)驶出港口。,2,出口税。
201741,芙蓉,fú róng,2017411,1,木芙蓉。,1,出水芙蓉。
79281,总理,zǒng lǐ,792811,1,中国国务院领导人的名称。,2,分公司的总理。
79281,总理,zǒng lǐ,792812,2,某些国家政府首脑的名称。,2,分公司的总理。
79281,总理,zǒng lǐ,792813,3,某些政党领导人的名称。,2,分公司的总理。
204601,刻板,kè bǎn,2046011,1,"在木板或金属板上刻字或图(或用化学方法腐蚀而成),使成为印刷用的底版。",1,"别人的经验是应该学习的,但是不能刻板地照搬。"
92061,能量,néng liàng,920611,1,,1,"别看人不多,能量可不小。"
68331,刺激,cì jī,683311,1,现实的物体和现象作用于感觉器官的过程;声、光、热等引起生物体活动或变化的作用。,2,刺激生产力的发展。
204331,豆子,dòu zi,2043311,1,豆类作物。,1,剥豆子。
94631,上游,shàng yóu,946311,1,河流接近发源地的部分。,1,力争上游。
62431,关键,guān jiàn,624311,1,门闩或功能类似门闩的东西。,2,办好学校关键在于提高教学质量。
70541,果实,guǒ shí,705411,1,"植物体的一部分,花受精后,子房逐渐长大,成为果实。有些果实可供食用。",1,劳动果实。
88761,结晶,jié jīng,887611,1,物质从液态(溶液或熔化状态)或气态形成晶体。,1,劳动的结晶。
88761,结晶,jié jīng,887612,2,,1,劳动的结晶。
204141,础石,chǔ shí,2041411,1,垫在房屋柱子底下的石头。,1,"勤劳善良的人民,是社会的中坚与础石。"
205421,婵娟,chán juān,2054211,1,"(姿态)美好,多用来形容女子。",1,千里共婵娟。
57372,便宜,pián yi,573721,1,价钱低。,1,占便宜。
97551,卫星,wèi xīng,975511,1,"按一定轨道绕行星运行的天体,本身不能发光。",1,卫星城市。
81851,潮流,cháo liú,818511,1,由潮汐而引起的水流运动。,2,历史潮流。
68631,单位,dān wèi,686311,1,"计量事物的标准量的名称。如厘米为计算长度的单位,克为计算质量的单位,秒为计算时间的单位等。",4,参加竞赛的有很多单位。
57071,姐姐,jiě jie,570711,1,同父母(或只同父、只同母)而年纪比自己大的女子。,1,叔伯姐姐。
56831,弟弟,dì di,568311,1,同父母(或只同父、只同母)而年纪比自己小的男子。,1,叔伯弟弟。
70171,古典,gǔ diǎn,701711,1,典故。,2,古典政治经济学。
96801,同志,tóng zhì,968011,1,"为共同的理想、事业而奋斗的人,特指同一个政党的成员。",4,"同志,请问您贵姓?"
66721,组织,zǔ zhī,667214,4,"机体中构成器官的单位,是由许多形态和功能相同的细胞按一定的方式结合而成的。人和高等动物体内有上皮组织、结缔组织、肌肉组织和神经组织。",3,向组织汇报工作。
62471,广播,guǎng bō,624711,1,"广播电台、电视台发射无线电波,播送节目。有线电播送节目也叫广播。",1,听广播。
76691,吸收,xī shōu,766911,1,"物体把外界的某些物质吸到内部,如海绵吸收水,木炭吸收气体等。",2,吸收会员。
76691,吸收,xī shōu,766912,2,"特指有机体把组织外部的物质吸到组织内部,如肠黏膜吸收养分,植物的根吸收水和无机盐等。",2,吸收会员。
76691,吸收,xī shōu,766913,3,"物体使某些现象、作用减弱或消失,如弹簧吸收震动,隔音纸吸收声音等。",2,吸收会员。
102581,周转,zhōu zhuǎn,1025811,1,"企业的资金从投入生产到销售产品而收回货币,再投入生产,这个过程一次又一次地重复进行,叫做周转。周转所需的时间,是生产时间和流通时间的总和。",1,周转不开。
58071,阿姨,ā yí,580711,1,〈方dial.〉母亲的姐妹。,2,售票员阿姨。
84121,对策,duì cè,841211,1,古代应考的人回答皇帝所问关于治国的策略。,1,商量对策。
100801,元首,yuán shǒu,1008011,1,君主。,1,国家元首。
102031,支柱,zhī zhù,1020311,1,起支撑作用的柱子。,2,国家的支柱。
81271,裁判,cái pàn,812711,1,"法院依照法律,对案件做出的决定,分为判决和裁定两种。",2,国际裁判。
81271,裁判,cái pàn,812712,2,"根据体育运动的竞赛规则,对运动员竞赛的成绩和竞赛中发生的问题做出评判。",2,国际裁判。
62801,基础,jī chǔ,628011,1,建筑物的根脚。,2,在原有的基础上提高。
56331,先生,xiān sheng,563314,4,〈方dial.〉医生。,1,在商号当先生。
76871,相对,xiāng duì,768711,1,"指性质上互相对立,如大与小相对,美与丑相对。",1,"在绝对的总的宇宙发展过程中,各个具体过程的发展都是相对的。"
72831,领域,lǐng yù,728311,1,一个国家行使主权的区域。,3,"在自然科学领域内,数学是最重要的基础。"
57491,时间,shí jiān,574911,1,"物质存在的一种客观形式,由过去、现在、将来构成的连绵不断的系统。是物质的运动、变化的持续性、顺序性的表现。",1,地球自转一周的时间是二十四小时
68871,地理,dì lǐ,688712,2,地理学。,1,地理先生(看风水的人)。
73801,品种,pǐn zhǒng,738011,1,经过人工选择和培育、具有一定经济价值和共同遗传特点的一群生物体(通常指栽培植物、牲畜、家禽等)。,1,增加花色品种
58991,还是,hái shi,589912,2,,1,"天气凉了,还是多穿点ㄦ吧。"
100161,意识,yì shí,1001611,1,"人的头脑对于客观物质世界的反映,是感觉、思维等各种心理过程的总和,其中的思维是人类特有的反映现实的高级形式。存在决定意识,意识又反作用于存在。",1,"天还冷,看见树枝发绿才意识到已经是春天了。"
102041,知觉,zhī jué,1020411,1,"反映客观事物的整体形象和表面联系的心理过程。知觉是在感觉的基础上形成的,比感觉复杂、完整。",1,失去了知觉。
75581,思想,sī xiǎng,755811,1,"客观存在反映在人的意识中经过思维活动而产生的结果。思想的内容为社会制度的性质和人们的物质生活条件所决定,在阶级社会中,思想具有明显的阶级性。",1,她早有去农村参加农业生产的思想。
71611,角度,jiǎo dù,716111,1,角的大小。通常用度或弧度来表示。,1,"如果光从自己的角度来看问题,意见就难免有些片面。"
79351,祖先,zǔ xiān,793511,1,"一个民族或家族的上代,特指年代比较久远的。",1,始祖鸟是鸟类的祖先。
55911,朋友,péng you,559111,1,彼此有交情的人。,1,"姑娘多大了,有朋友了没有?"
97981,媳妇,xí fù,979811,1,儿子的妻子。,2,孙媳妇。
77811,因素,yīn sù,778111,1,构成事物本质的成分。,1,学习先进经验是提高生产的重要因素之一。
75161,实践,shí jiàn,751611,1,实行(自己的主张);履行(自己的诺言)。,1,实践出真知。
70631,豪华,háo huá,706311,1,(生活)过分铺张;奢侈。,3,室内摆设非常豪华。
205451,饥荒,jī huang,2054511,1,庄稼收成不好或没有收成。,1,家里闹饥荒。
84181,对应,duì yìng,841811,1,一个系统中某一项在性质、作用、位置或数量上跟另一系统中某一项相当。,2,对应行动。
85061,封建,fēng jiàn,850611,1,"一种政治制度,君主把土地分给宗室和功臣,让他们在这土地上建国。中国周代开始有这种制度,其后有些朝代也曾仿行。欧洲中世纪君主把土地分给亲信的人,形式跟中国古代封建相似,中国也把它叫做封建。",2,封建剥削。
88841,解体,jiě tǐ,888411,1,物体的结构分解。,2,封建经济解体。
86401,光彩,guāng cǎi,864011,1,颜色和光泽;光辉,1,"小张当了劳动模范,咱全村都很光彩。"
88251,尖端,jiān duān,882511,1,尖锐的末梢;顶点。,3,尖端产品。
101991,支出,zhī chū,1019911,1,付出去;支付。,1,尽量控制非生产性的支出。
55821,明天,míng tiān,558211,1,今天的下一天。,1,展望美好的明天。
204431,坝子,bà zi,2044311,1,same as坝,1,川西坝子。
66531,重点,zhòng diǎn,665311,1,阻力点的旧称。,3,工业建设的重点。
69911,革命,gé mìng,699111,1,"被压迫阶级用暴力夺取政权,摧毁旧的腐朽的社会制度,建立新的进步的社会制度。革命破坏旧的生产关系,建立新的生产关系,解放生产力,推动社会的发展。",1,工人阶级是最革命的阶级。
87691,机械,jī xiè,876911,1,利用力学原理组成的各种装置。杠杆、滑轮、机器以及枪炮等都是机械。,1,工作方法太机械。
77141,心理,xīn lǐ,771411,1,"人的头脑反映客观现实的过程,如感觉、知觉、思维、情绪等。",2,"工作顺利就高兴,这是一般人的心理。"
84551,反馈,fǎn kuì,845511,1,"把放大器的输出电路中的一部分能量送回输入电路中,以增强或减弱输入讯号的效应。增强输入讯号效应的叫正反馈;减弱输入讯号效应的叫负反馈。正反馈常用来产生振荡;负反馈能稳定放大,减少失真,因而广泛应用于放大器中。",1,市场销售情况的信息不断反馈到工厂。
84551,反馈,fǎn kuì,845512,2,医学上指某些生理的或病理的效应反过来影响引起这种效应的原因。起增强作用的叫正反馈;起减弱作用的叫负反馈。,1,市场销售情况的信息不断反馈到工厂。
92761,平行,píng xíng,927612,2,"两个平面或一个平面内的两条直线或一条直线与一个平面始终不能相交,叫做平行。",2,平行发展。
102701,主题,zhǔ tí,1027011,1,"文学、艺术作品中所表现的中心思想,是作品思想内容的核心。",2,年终分配成了人们议论的主题。
100611,幼稚,yòu zhì,1006111,1,年纪小。,1,幼稚的想法。
101451,占领,zhàn lǐng,1014511,1,用武装力量取得(阵地或领土)。,2,开拓和占领新的科技领域。
96281,弹性,tán xìng,962811,1,"物体受外力作用变形后,除去作用力时能恢复原来形状的性质。",3,弹性工作制。
76411,尾巴,wěi ba,764111,1,"鸟、兽、虫、鱼等动物的身体末端突出的部分,主要作用是辅助运动、保持身体平衡等。",2,彗星尾巴。
74441,燃烧,rán shāo,744411,1,物质剧烈氧化而发光、发热。可燃物质和空气中的氧剧烈化合是最常见的燃烧现象。,1,怒火在胸中燃烧。
76641,武器,wǔ qì,766411,1,"直接用于杀伤敌人有生力量和破坏敌方作战设施的器械、装置,如刀、枪、火炮、导弹等。",1,思想武器。
203471,想像,xiǎng xiàng,2034711,1,"心理学上指在知觉材料的基础上,经过新的配合而创造出新形象的心理过程。",2,想像不出。
79241,综合,zōng hé,792411,1,把分析过的对象或现象的各个部分、各属性联合成一个统一的整体(跟‘分析’相对as opposed to‘analyse’})。,4,"戏剧是一种综合艺术,它包括文学、美术、音乐、建筑各种艺术的成分。"
70781,呼吸,hū xī,707811,1,"生物体与外界进行气体交换。人和高等动物用肺呼吸,低等动物靠皮肤呼吸,植物通过表面的组织进行气体交换。",1,成败在呼吸之间。
72791,零钱,líng qián,727911,1,"币值小的钱,如角、分。",1,"我不抽烟,也不喝酒,一个月花不了多少零钱。"
80101,报销,bào xiāo,801012,2,把用坏作废的物件报告销账。,2,"我们两面夹攻,一个班的敌人很快就报销了。"
102681,主流,zhǔ liú,1026811,1,干流。,1,"我们必须分清主流和支流,区别本质和现象。"
77791,义务,yì wù,777911,1,"公民或法人按法律规定应尽的责任,例如服兵役(跟‘权利’相对as opposed to‘right’})。",1,我们有义务帮助学习较差的同学。
80431,比重,bǐ zhòng,804311,1,物质的重量和4℃时同体积纯水的重量的比值，叫做该物质的比重。,1,我国工业在整个国民经济中的比重逐年增长。
61431,成熟,chéng shú,614311,1,"植物的果实等完全长成,泛指生物体发育到完备的阶段。",1,我的意见还不成熟
80701,标本,biāo běn,807012,2,"保持实物原样或经过加工整理,供学习、研究时参考用的动物、植物、矿物。",1,我觉得苏州园林可以算作我国各地园林的标本。
101401,战斗,zhàn dòu,1014011,1,"敌对双方所进行的武装冲突,是达到战争目的的主要手段。",2,战斗英雄。
101411,战略,zhàn lüè,1014111,1,指导战争全局的计划和策略。,2,战略防御。
99591,掩护,yǎn hù,995911,1,"对敌采取警戒、牵制、压制等手段,保障部队或人员行动的安全。",1,打掩护。
93851,渠道,qú dào,938511,1,"在河湖或水库等的周围开挖的水道,用来引水排灌。",1,扩大商品流通渠道。
96821,统计,tǒng jì,968211,1,指对某一现象有关的数据的搜集、整理、计算和分析等。,1,把人数统计一下。
100581,油漆,yóu qī,1005811,1,泛指油类和漆类涂料。,1,把门窗油漆一下。
74851,舌头,shé tou,748511,1,"辨别滋味、帮助咀嚼和发音的器官,在口腔底部,根部固定在口腔底上。",1,抓舌头。
84871,分红,fēn hóng,848711,1,指人民公社时期社员定期分配工分值。,2,按股分红。
