definition_id,example_sn,example_cn,example_en,example_img
553511,1,黑白电视,black and white TV,
553511,2,彩色电视,colour TV,
553511,3,看电视,watch TV,
553511,4,放电视。,turn on TV,
553512,1,黑白电视,black and white TV,
553512,2,彩色电视,colour TV,
553512,3,看电视,watch TV,
553512,4,放电视。,turn on TV,
553711,1,他买东西去了,He's gone shopping.,
553711,2,"雾很大,十几步以外的东西就看不见了",The fog is so heavy that one can't see beyond a dozen steps.,
553711,3,"语言这东西,不是随便可以学好的,非下苦功不可",One can't learn a language well without making painstaking efforts.,
553711,4,咱们写东西要用普通话。,We should write in standard Chinese.,
553712,1,老东西,old thing; useless old thing,
553712,2,笨东西,idiot,
553712,3,这小东西真可爱。,What a cute little thing!,
553721,1,"这座城东西三里,南北五里。",The city is three li across from east to west and five li from north to south.,
553722,1,"这座城东西三里,南北五里。",The city is three li across from east to west and five li from north to south.,
554011,1,"对不起,让您久等了。",I'm sorry to have kept you waiting for so long.,
554011,2,also对不住,duì·bu zhù,
554211,1,这个村子有多少人家?,How many households are there in this village?,
554211,2,今年收了多少粮食?,How much grain has been reaped this year?,
554212,1,我知道多少说多少,I'll tell you all I know.,
554212,2,"有多少人,准备多少工具。",Prepare as many tools as there are people.,
554221,1,"多少不等,长短不齐。",vary in amount or number and in length,
554222,1,这句话多少有点道理。,There is something in this statement.,
554223,1,"一立秋,天气多少有点凉意了。",One begins to feel a slight chill when autumn comes.,
554311,1,二儿子,second son,
554311,2,儿子。,good son of the people,
554711,1,"听说你要来,我们全家都很高兴。",Our entire family was glad to hear that you were coming.,
554712,1,"他就是高兴看电影,对看戏不感兴趣。",He is fond of films but not at all interested in the theatre.,
554911,1,积极工作,work hard,
554911,2,开始工作,begin to work,
554911,3,铲土机正在工作。,The spading machine is in operation.,
554912,1,找工作,look for a job,
554912,2,工作没有贵贱之分。,No work is superior or inferior to any other work.,
554913,1,工作量,amount of work,
554913,2,宣传工作,propaganda work,
554913,3,工会工作,trade union work,
554913,4,科学研究工作。,scientific research,
555611,1,房子后面有一个花园,There's a garden behind the house.,
555611,2,"前面坐满了,后面还有座位。","The front seats have been occupied, but there are still some available at the back.",
555612,1,"关于这个问题,后面还要详细说。",I'll give the details about this issue later.,
556211,1,今天的事不要放到明天做。,You should not put off till tomorrow what you can do today.,
556212,1,今天的中国已经不是解放前的中国了。,China today is no longer what it was before liberation.,
556611,1,看得见,get a view of sth.,
556611,2,看不见,unable to see anything,
556611,3,从来没看见过这样的怪事。,Never have (I) seen anything so weird.,
558211,1,展望美好的明天。,look forward to the bright future,
558212,1,展望美好的明天。,look forward to the bright future,
558311,1,他现在的名字是上学时老师给起的。,His current name was given by his teacher when he was at school.,
558312,1,这村子的名字叫张各庄。,The name of this village is Zhanggezhuang.,
559111,1,"姑娘多大了,有朋友了没有?",How old is she and has she got a boyfriend?,
559112,1,"姑娘多大了,有朋友了没有?",How old is she and has she got a boyfriend?,
559211,1,她长得漂亮,She is pretty.,
559211,2,衣服漂亮,beautiful clothes,
559211,3,"节日里,孩子们打扮得漂漂亮亮的。",Children dress smartly at festivals.,
559212,1,事情办得漂亮,A nice job indeed.,
559212,2,打了一个漂亮仗,win a brilliant victory in a battle,
559212,3,普通话说得很漂亮。,speak beautiful putonghua,
559611,1,亭子前面有一棵松树,There is a pine tree in front of the pavilion.,
559611,2,前面陈列的都是新式农具。,The exhibits ahead are all new-style farm implements.,
559612,1,"这个道理,前面已经讲得很详细了。",The reason has already been stated exhaustively above.,
560111,1,我认识他,I know him.,
560111,2,他不认识这种草药。,He doesn't know anything about this herbal medicine.,
560112,1,感性认识,perceptual knowledge,
560112,2,理性认识。,rational knowledge,
560411,1,百货商店,department store,
560411,2,零售商店。,retail shop,
560911,1,这是什么?,What is this?,
560911,2,你找什么?,What are you looking for?,
560911,3,他说什么?,What did he say?,
560911,4,什么叫押韵?,What is rhyme?,
560911,5,"用在名词前面,问人或事物",[used before a noun to ask who or what],
560911,6,什么人?,Who is he?,
560911,7,什么事ㄦ?,What's the matter?,
560911,8,什么颜色?,What colour?,
560911,9,什么地方?,Where?,
560912,1,他们仿佛在谈论什么,It seems that they are talking about something.,
560912,2,"我饿了,想吃点ㄦ什么。",I'm hungry. I want to have something to eat.,
560913,1,他什么也不怕,He is afraid of nothing. or He fears nothing.,
560913,2,"只要认真学,什么都能学会。","Only if you learn earnestly, you can learn everything.",
560913,3,"两个‘什么’前后照应,表示由前者决定后者",[used one 什么 after another 什么 to indicate that the former determines the latter],
560913,4,想什么说什么,Feel free to say what's on your mind. or Say whatever you like to.,
560913,5,"你什么时候去,我也什么时候去。","Whenever you go, I'll go.",
560914,1,"什么!九点了,车还没有开!",What's happened! It's nine. The bus is not yet leaving!,
560914,2,这是什么鞋!一只大一只小的!,What damned shoes! One is big and the other is smaller.,
560915,1,你笑什么?(不应该笑),What are you laughing at? (You should not have laughed.),
560915,2,你说呀!装什么哑巴?(不必装哑巴),Speak up! Stop playing dumb.,
560916,1,什么晒一天?晒三天也晒不干。,One day? It won't be dried even in three days.,
560917,1,"什么送个信ㄦ啊,跑个腿ㄦ啊,他都干得了。","He can do everything, such as sending a message and running errands.",
561111,1,你写这篇文章用了多少时候?,How much time did you spend writing the article?,
561112,1,现在是什么时候了?,What time is it now?,
561112,2,到时候请叫我一声。,Please call me when it's time.,
561611,1,该睡觉了,It's time to go to bed.,
561611,2,睡了一觉。,have a sleep,
561711,1,这人不爱说话ㄦ,This person does not like to talk.,
561711,2,不要说话,Don't talk.,
561711,3,老乡感动得说不出话来。,The farmer was too moved to say anything.,
561713,1,"要把事情做好,否则人家要说话了。","We should do a good job, otherwise people will start talking.",
561714,1,"你稍等一等,我说话就来。",Wait a minute. I'll be right back.,
561715,1,他这句说话很有道理。,What he said was quite right.,
562311,1,天气预报,weather report; weather forecast,
562311,2,今天天气很好。,It's a fine day today.,
562312,1,现在是三更天气,It's midnight now.,
562312,2,"天气不早了,快回家吧!",It's getting late. Let's go home.,
562511,1,我们自幼同学,We have been schoolmates since childhood.,
562511,2,我和他同过三年学。,He and I were classmates for three years.,
562512,1,老同学,former schoolmate or classmate,
562512,2,这位是我的同班同学。,This is my classmate.,
562513,1,"同学,请问你到游乐场怎么走?","Excuse me, could you tell me where the amusement park is?",
563011,1,"他喜欢文学,我喜欢数学。","He is fond of literature, while I love mathematics.",
563012,1,喜喜欢欢过春节,have a happy Spring Festival,
563012,2,"快把试验成功的消息广播一下,叫大家喜欢喜欢。",Hurry up and announce the success of the experiment on the public announcement system — everybody will be delighted by it.,
563311,1,她先生出差去了,Her husband is away on business.,
563311,2,"等我们先生回来,我让他马上去找您。","When my husband is back, I'll ask him to see you at once.",
563312,1,她先生出差去了,Her husband is away on business.,
563312,2,"等我们先生回来,我让他马上去找您。","When my husband is back, I'll ask him to see you at once.",
563313,1,她先生出差去了,Her husband is away on business.,
563313,2,"等我们先生回来,我让他马上去找您。","When my husband is back, I'll ask him to see you at once.",
563314,1,在商号当先生。,serve as bookkeeper in a trading company,
563315,1,在商号当先生。,serve as bookkeeper in a trading company,
563316,1,算命先生。,fortune-teller,
563411,1,他现在的情况怎么样?,How is he getting on now?,
563411,2,现在他当了厂长了。,He is now director of the factory.,
564111,1,星期日,Sunday,
564111,2,星期三,Wednesday,
564111,3,今天星期几?,What day is today?,
564112,1,星期日,Sunday,
564112,2,星期三,Wednesday,
564112,3,今天星期几?,What day is today?,
564113,1,星期休息。,off on Sunday,
564311,1,学习文化,acquire an elementary education; learn to read and write,
564311,2,学习先进经验。,learn from advanced experiences,
564312,1,学习他的为人。,emulate his conduct or behaviour,
565411,1,这是怎么回事?,What's the matter?,
565411,2,这个问题该怎么解决?,How shall we resolve this problem?,
565411,3,他怎么还不回来?,Why hasn't he come back yet?,
565412,1,你愿意怎么办就怎么办。,Do as you like.,
565413,1,"这出戏他刚学,还不怎么会唱(=不大会唱)。","He's just started to learn the aria, so he's still not able to sing it well yet.",
565511,1,他画得也并不怎么样(=并不好),He doesn't paint particularly good either. or He's not much of a painter either.,
565511,2,"那是他一时的糊涂,也不好怎么样他(=责罚他)。",Since he was so confused at the time we couldn't be too hard on him.,
565512,1,他画得也并不怎么样(=并不好),He doesn't paint particularly good either. or He's not much of a painter either.,
565512,2,"那是他一时的糊涂,也不好怎么样他(=责罚他)。",Since he was so confused at the time we couldn't be too hard on him.,
565911,1,一张桌子。,a table or desk,
566711,1,互相帮助,help each other,
566711,2,帮助灾民。,help the victims of a natural calamity,
567811,1,书法大家,great master of calligraphy,
567811,2,大家手笔。,work of a master,
567812,1,大家闺秀。,young lady of a noble family,
567813,1,大家的事大家办,Everybody's business should be everybody's responsibility.,
567813,2,"大家坐好,现在开会了。","Take your seats, please, let's start the meeting.",
567813,3,"[注意]NOTE:某人或某些人跟‘大家’对举的时候,这人或这些人不在‘大家’的范围之内,如","When sb. or some people are talking to others, they are not included in ‘everyone’. Example",
567813,4,我报告大家一个好消息,I have some good news for you all.,
567813,5,你讲个笑话给大家听听,Please tell us a joke.,
567813,6,"他们一进来,大家都鼓掌表示欢迎。","As soon as they came in, all the people applauded.",
567813,7,"‘大家’常常放在‘你们、我们、他们、咱们’后面做复指成分,如","It oft. comes after 你们 nǐ·men, 我们 wǒ·men, 他们 tā·men and 咱们 zán·men. Example",
567813,8,明天咱们大家开个会谈谈。,We'll have a meeting to discuss it tomorrow.,
567911,1,"他想睡一会ㄦ,但是睡不着","He wanted to have a nap, but could not sleep.",
567911,2,"他虽然已经七十多了,但是精力仍然很健旺。","Although he is already in his 70s, he is still full of energy.",
568311,1,叔伯弟弟。,younger cousin who is the son of one's paternal uncle,
568312,1,叔伯弟弟。,younger cousin who is the son of one's paternal uncle,
568411,1,他考了第一名。,He came out number one in the exam.,
568412,1,"百年大计,质量第一。","It is a project to last for 100 years, so quality comes first.",
568611,1,这套房子有五个房间。,This house has five rooms.,
568711,1,非常时期,time of emergency,
568711,2,非常会议。,extraordinary session,
568712,1,非常光荣,extremely honourable,
568712,2,非常高兴,very pleased,
568712,3,非常努力,work very hard,
568712,4,他非常会说话。,He has a smooth (or glib) tongue.,
569011,1,"请你告诉他,今天晚上七点钟开会。",Please tell him the meeting is at 7 tonight.,
569021,1,告诉到法院。,file a suit in court,
569111,1,叔伯哥哥,elder cousin,
569111,2,远房哥哥。,an elder brother of a distant relative,
569112,1,叔伯哥哥,elder cousin,
569112,2,远房哥哥。,an elder brother of a distant relative,
569711,1,小孩子,child; baby,
569711,2,男孩子。,boy,
569712,1,她有两个孩子。,She has two children.,
570111,1,欢迎大会,welcome meeting,
570111,2,欢迎贵宾。,welcome distinguished guests,
570112,1,欢迎你参加我们的工作,You're welcome to join us in our work.,
570112,2,新产品很受消费者的欢迎。,The new product has been well received by customers.,
570311,1,回答不出来,fail to answer a question,
570311,2,满意的回答。,satisfactory answer,
570711,1,叔伯姐姐。,elder female cousin (on the paternal side),
570712,1,叔伯姐姐。,elder female cousin (on the paternal side),
570811,1,介绍信,letter of introduction; reference (letter),
570811,2,介绍人,one who introduces or recommends sb.; referee; sponsor,
570811,3,"我给你介绍一下,这位是张先生。","Let me introduce a new friend to you, this is Mr. Zhang.",
570812,1,介绍入会,be sponsored to join a club,
570812,2,中国京剧已被介绍到许多国家。,The Peking Opera has been introduced into many countries.,
570813,1,介绍情况,let (sb.) in on the situation,
570813,2,介绍先进经验。,give a briefing on advanced experience,
571211,1,"游兴很浓,一点也不觉得疲倦。","Having such a lively interest in the excursion, (he) did not feel at all tired.",
571212,1,我觉得应该先跟他商量一下。,I guess we should first consult him.,
571411,1,新的一年开始了,A new year has begun.,
571411,2,今天从第五课开始。,Let's begin today's class from Lesson Five.,
571412,1,开始一项新的工作,set about a new task,
571412,2,"提纲已经定了,明天就可以开始写。","With the outline set, (we) can begin writing tomorrow.",
571413,1,"一种新的工作,开始总会遇到一些困难。",One is bound to come across one difficulty or another at the beginning of a new job.,
571611,1,可能性,possibility,
571611,2,团结国内外一切可能团结的力量,unite with all the forces that can be united with at home and abroad,
571611,3,提前完成任务是完全可能的。,It is entirely possible for the task to be fulfilled ahead of schedule.,
571612,1,根据需要和可能安排工作,arrange work where necessary and possible,
571612,2,事情的发展不外有两种可能。,"Judging from the way things go, there can be only two possibilities.",
571613,1,他可能开会去了,Maybe he has gone to the meeting.,
571613,2,天可能要下雪。,It looks like snowing.,
571711,1,"不会的事情,用心去学,是可以学会的",You can learn what you don't know if you set your heart on it.,
571711,2,"这片麦子已经熟了,可以割了。",The wheat in this field is ripe enough for harvesting.,
571712,1,你可以走了。,You may go.,
571713,1,这篇文章写得还可以。,This article is pretty good.,
571714,1,你这张嘴真可以,What a sharp tongue you've got!,
571714,2,天气实在热得可以。,It is awfully hot.,
572011,1,快乐的微笑,happy smile,
572011,2,祝您生日快乐。,Happy birthday to you.,
572511,1,旅游胜地,places of tourist interest,
572511,2,旅游旺季,tourist season,
572511,3,放假后我们将到青岛旅游。,We are going to have a tour to Qingdao during the vacation.,
573011,1,叔伯妹妹,younger female paternal cousins,
573011,2,远房妹妹。,distant younger female cousins,
573012,1,叔伯妹妹,younger female paternal cousins,
573012,2,远房妹妹。,distant younger female cousins,
573721,1,占便宜。,gain extra advantage by unfair means,
573722,1,占便宜。,gain extra advantage by unfair means,
573723,1,便宜了你。,You have been let off lightly.,
574011,1,他每天总是天刚亮就起床。,He gets up at dawn everyday.,
574911,1,地球自转一周的时间是二十四小时,The period of a complete rotation of the earth is 24 hours.,
574911,2,盖这么所房子要多少时间?,How long will it take to build such a house?,
574912,1,地球自转一周的时间是二十四小时,The period of a complete rotation of the earth is 24 hours.,
574912,2,盖这么所房子要多少时间?,How long will it take to build such a house?,
574913,1,现在的时间是三点十五分。,The time now is 15 minutes past three.,
575011,1,"事情多,忙不过来。",busy at work; too much business to attend to,
575012,1,"不能马虎,出了事情就麻烦了。","Be very careful, because if anything untoward should happen, you will be in big trouble.",
575013,1,在公司里找了一个事情。,find a job with a company,
575411,1,"我和他在一起工作过,所以对他比较熟悉。",I used to work with him so I know him pretty well.,
575411,2,"用在上半句主语和谓语之间,提出需要说明原因的事情,下半句说明原因","[used between the subject and the predicate of a clause of result, followed by a clause of reason or cause introduced by 是因为shì yīn·wèi or 是由于shì yóuyú]",
575411,3,"我所以对他比较熟悉,是因为我和他在一起工作过。",The reason I know him so well is that we used to work together.,
575411,4,"上半句先说明原因,下半句用‘是…所以…的原因(缘故)’",[used in the pattern 是 shì… 所以 suǒyǐ… 的原因·de yuányīn (缘故 yuángù) preceded by a clause of reason or cause] ... is the reason; is why ...,
575411,5,"我和他在一起工作过,这就是我所以对他比较熟悉的原因。",He and I used to work together. That's why I know him pretty well.,
575411,6,"‘所以’单独成句,表示‘原因就在这里’",[used as an independent unit] precisely; that is exactly the point,
575411,7,"所以呀,要不然我怎么这么说呢!",Absolutely. Otherwise I wouldn't have said it!,
575412,1,忘其所以,be carried away,
575412,2,不知所以。,not know why it is so,
576211,1,晚上要去看望一个朋友,I'm going to see a friend tonight.,
576211,2,一连几个晚上都没有睡好觉。,haven't slept well for nights on end,
576511,1,这次考试一共有五个问题,There were five questions in this exam.,
576511,2,我想答复一下这一类的问题。,I would like to answer questions of this kind.,
576512,1,思想问题,ideological problem,
576512,2,这种药治感冒很解决问题。,This drug is very effective in curing cold.,
576513,1,重要的问题在善于学习。,The important point is that you should be good at study.,
576514,1,那部车床又出问题了。,Something has gone wrong with that lathe again.,
576711,1,他从小就希望做一个医生。,He has aspired to become a doctor since childhood.,
576712,1,这个希望不难实现。,It's easy to turn this hope into reality.,
576713,1,"青少年是我们的未来,是我们的希望。",Our future and our hope rest with the youngsters.,
577411,1,"走累了,找个地方休息休息",We are tired after a walk. Let's find a place for a rest.,
577411,2,"既要有紧张的工作,又要有适当的休息。","(We) should work hard on the one hand, and have proper rest on the other.",
577621,1,颜色鲜艳,bright colour,
577621,2,彩虹有七种颜色。,The rainbow has seven spectral colours in it.,
577622,1,颜色憔悴。,look haggard,
577623,1,现出羞愧的颜色。,blush with shame,
577624,1,给他一点颜色看看。,make it hot for him; teach him a lesson,
578111,1,任务已经完成,The task has been fulfilled.,
578111,2,他们已经来了,They have already come.,
578111,3,"天已经黑了,他们还没有收工。","It's already dark, but they haven't knocked off yet.",
578211,1,坐在一起。,sit in the same place,
578212,1,"张大叔明天进城,你一起去吧。",Uncle Zhang will go downtown tomorrow. You may go along with him.,
578213,1,这几件东西一起多少钱?,How much is that altogether?,
578311,1,‘节约’就是不浪费的意思,‘Thrift’ means no waste.,
578311,2,要正确地了解这篇文章的中心意思,One should correctly understand the central idea of this article.,
578311,3,你这句话是什么意思?,What do you mean by this sentence?,
578312,1,大家的意思是一起去,Everyone wants to go together.,
578312,2,"我想跟你合写一篇文章,你是不是也有这个意思?",I want to write an article together with you. Do you have the same wish?,
578313,1,"这不过是我的一点意思,你就收下吧!",Please accept this little gift as a token of my appreciation.,
578314,1,"大家受累了,得买些东西意思一下。",Everyone has taken the trouble to help me. I'll buy you something as a token of my thanks.,
578315,1,天有点要下雨的意思,It looks like rain.,
578315,2,"天气渐渐暖了,树木有点ㄦ发绿的意思了。","It's getting warm, and the trees look like sprouting.",
578316,1,"这棵松树长得像座宝塔,真有意思",It's very interesting to see the pine tree look like a pagoda.,
578316,2,"他看着工业展览会上的新产品,感觉很有意思。",He found the new products at the industrial exhibition very interesting.,
578511,1,"因为今天事情多,所以没有去。",I didn't go because I was terribly busy today.,
579111,1,运动官府。,canvass or drum up support from the authorities,
579121,1,田径运动,track-and-field events; athletics,
579121,2,运动健将。,master sportsman,
579122,1,田径运动,track-and-field events; athletics,
579122,2,运动健将。,master sportsman,
579123,1,田径运动,track-and-field events; athletics,
579123,2,运动健将。,master sportsman,
579124,1,五四运动,May 4th Movement,
579124,2,技术革新运动。,technical innovation movement,
579621,1,大丈夫,true man,
579621,2,丈夫气。,manliness,
580011,1,他们正在开会,They are having a meeting.,
580011,2,温度正在慢慢上升。,The temperature is rising.,
580111,1,他知道的事情很多,He is a knowledgeable person.,
580111,2,你的意思我知道。,I know what you mean.,
580211,1,精神准备,mental preparation,
580211,2,准备发言提纲,draft an outline for a speech,
580211,3,准备一个空箱子放书。,prepare an empty case for books,
580212,1,春节我准备回家,I intend to return home during the Spring Festival.,
580212,2,"昨天我本来准备去看你,因为临时有事没去成。","I planned to come to see you yesterday, but I didn't as I was incidentally occupied.",
580711,1,王阿姨,Auntie Wang,
580711,2,售票员阿姨。,Auntie Conductress,
580712,1,王阿姨,Auntie Wang,
580712,2,售票员阿姨。,Auntie Conductress,
581011,1,爱好体育,be keen on sports,
