definition_id,example_sn,example_cn,example_en,example_img
111,1,我们的目的是为了更好地服务大家。,Our purpose is to better serve everyone.,
121,1,这位老者的言行举止都透露着的的确确的智慧。,The words and actions of this elderly man reveal genuine wisdom.,
131,1,军队必须要有铁的纪律才能打胜仗。,The army must have iron discipline in order to win battles.,
132,1,桌子上摆着红的、黄的、绿的各种颜色的水果。,"There are fruits of various colors on the table, such as red, yellow, and green.",
133,1,谁买的这本书？,Who bought this book?,
134,1,你放心，这件事我一定会帮你解决的。,"Don't worry, I will definitely help you solve this matter.",
135,1,破铜烂铁的，他捡来一大筐，准备卖掉换钱。,"He picked up a big basket of scrap metal, planning to sell it for money.",
136,1,这间屋子是五米的三米，合十五平方米，足够一个人居住。,"This room is five meters by three meters, totaling fifteen square meters, enough for one person to live in.",
231,1,他只用了一分钟就解出了这道复杂的数学题。,He solved this complex math problem in just one minute.,
232,1,对待所有学生应该一视同仁，不分彼此。,"All students should be treated equally, without distinction.",
233,1,番茄一名西红柿，是一种非常常见的蔬菜。,"Tomato, also known as 'Xi Hong Shi', is a very common vegetable.",
234,1,这个村庄整个一冬都被大雪覆盖。,The entire village was covered with snow all winter.,
235,1,他一心一意地专注于自己的事业。,He devoted himself wholeheartedly to his career.,
236,1,走了一天路，我们决定歇一歇再继续前进。,"After walking all day, we decided to take a break before continuing.",
237,1,他一跳跳了过去，轻松越过了那道障碍。,He jumped over the obstacle easily in one leap.,
238,1,一失足成千古恨，他后悔自己当初的选择。,A single misstep became an eternal regret; he regrets his initial choice.,
239,1,他的进步一何速也，令人刮目相看。,"How rapid his progress is, making people look at him with new eyes.",
240,1,这首曲子以“宫商角徵羽”五音为基础，一音一调都恰到好处。,"This piece is based on the five notes 'Gong, Shang, Jue, Zhi, Yu,' with each note and tone perfectly placed.",
311,1,这个人一无是处，做什么都不成功。,This person is good for nothing and fails at everything he does.,
312,1,有些人总是喜欢是古非今，认为过去的一切都比现在好。,"Some people always prefer the past to the present, thinking that everything in the past was better than today.",
313,1,是，我知道这件事情的来龙去脉。,"Yes, I know the ins and outs of this matter.",
314,1,是先生是我们学校的校长，大家都非常尊敬他。,"Mr. Shi is the principal of our school, and everyone respects him very much.",
315,1,如是，我便不再多问了。,"If that's the case, I won't ask any more questions.",
316,1,这本书是我最喜欢的生日礼物，因为它充满了知识。,This book is my favorite birthday gift because it is full of knowledge.,
317,1,这张桌子是石头的，看起来非常坚固耐用。,"This table is made of stone, and it looks very solid and durable.",
318,1,他是一片好心，总是愿意帮助别人。,He has a kind heart and is always willing to help others.,
319,1,村子前面是一片水田，每到夏天都会种满绿油油的稻谷。,"In front of the village is a paddy field, which is planted with green rice every summer.",
320,1,去年是去年，今年是今年，你当年年一个样哪！时间在变，你也应该有所改变。,"Last year was last year, this year is this year. How can you stay the same every year? Time changes, and so should you.",
321,1,诗是好诗，就是长了点，读起来需要耐心。,"It's a good poem, just a bit long, so it requires patience to read.",
322,1,是谁告诉你的？这个问题让我很好奇。,Who told you? This question makes me very curious.,
323,1,是有利于群众的事情他都肯干，这种精神值得我们学习。,"He is willing to do anything that benefits the masses, and this spirit is worth learning from us.",
324,1,他想的很是路，总能找到解决问题的办法。,"His thoughts are very practical, and he can always find ways to solve problems.",
325,1,你是吃米饭是吃面？今天咱们就来个简单的选择吧。,Do you eat rice or noodles? Let's make a simple choice today.,
326,1,我打听清楚了，他那天是没去，这让我松了一口气。,"I found out clearly that he didn't go that day, which made me feel relieved.",
421,1,不去就不去吧，反正也没什么重要的事情。,"If you don't want to go, then don't go. Anyway, there is nothing important.",
422,1,不法行为必须受到法律的严惩，这样才能维护社会的公平正义。,Illegal behavior must be severely punished by law in order to maintain social fairness and justice.,
423,1,他知道吗？——不，他不知道。这件事还是不要告诉他比较好。,"Does he know? — No, he doesn't. It's better not to tell him about this matter.",
424,1,他现在身体好不？如果不好，我们应该去看看他。,"Is he feeling well now? If not, we should go and see him.",
