hanzi,definition_cn,definition_id,example_sn,example_cn,example_en,example_img
破产,债务人无力偿还债务时，法院依法处理其财产以偿还债权人,739011,1,一场大火使村上的许多农家破了产。,A big fire caused many farming households in the village to go bankrupt.,
破产,失去全部财产,739012,1,一场大火使村上的许多农家破了产。,A big fire caused many farming households in the village to go bankrupt.,
国籍,个人所属国家的法律身份,705311,1,一架中国国籍大型客机即将起飞。,A large passenger aircraft with Chinese nationality is about to take off.,
国籍,飞机、船只等所属国家的登记身份,705312,1,一架中国国籍大型客机即将起飞。,A large passenger aircraft with Chinese nationality is about to take off.,
消化,食物在体内的分解吸收过程,770011,1,"一次讲得太多,学生消化不了。","If too much is taught at once, students cannot absorb it all.",
消化,理解掌握知识,770012,1,"一次讲得太多,学生消化不了。","If too much is taught at once, students cannot absorb it all.",
万,复姓“万俟”,39611,1,万俟先生是我们学校新来的历史老师。,Mr. Moqi is the new history teacher at our school.,
万俟,中国的一个复姓,2060043,1,万俟先生是我们学校新来的历史老师。,Mr. Moqi is the new history teacher at our school.,
刻,"用漏壶记时,一昼夜共一百刻。",60412,1,下午五点一刻开车。,The car departs at 5:15 PM.,
刻,"用钟表计时,以十五分钟为一刻",60413,1,下午五点一刻开车。,The car departs at 5:15 PM.,
数字,表示数目的文字（如汉字数字）,648711,1,不要盲目追求数字。,Do not blindly pursue numbers.,
数字,表示数量的符号（如阿拉伯数字）,648712,1,不要盲目追求数字。,Do not blindly pursue numbers.,
数字,数量,648713,1,不要盲目追求数字。,Do not blindly pursue numbers.,
标点,用于书面语的分隔或停顿的符号,672311,1,专家们正在标点二十四史。,Experts are punctuating the Twenty-Four Histories.,
标点,为无标点的文本（如古籍）添加标点符号,672312,1,专家们正在标点二十四史。,Experts are punctuating the Twenty-Four Histories.,
种,指胆量或骨气（与“有、没有”连用）,5234,1,世界上有两种人，一种是乐观主义者，另一种是悲观主义者。,There are two kinds of people in the world: optimists and pessimists.,
种,〈量词〉表示种类,5235,1,世界上有两种人，一种是乐观主义者，另一种是悲观主义者。,There are two kinds of people in the world: optimists and pessimists.,
杠,体操器械，如单杠、双杠等。,231222,1,丝杠是一种用于机械传动的零件，常用于将旋转运动转化为直线运动。,"A 丝杠 is a mechanical part used for power transmission, often converting rotary motion into linear motion.",
杠,机床上的棍状零件。,231223,1,丝杠是一种用于机械传动的零件，常用于将旋转运动转化为直线运动。,"A 丝杠 is a mechanical part used for power transmission, often converting rotary motion into linear motion.",
中,中国的简称,1612,1,中文是世界上使用人数最多的语言之一。,Chinese is one of the most spoken languages in the world.,
