definition_id,example_sn,example_cn,example_en,example_img
4040911,1,"临行时妈妈嘱咐了好些话,他一一记在心里。",He remembers everything his mother said to him on his departure.,
4041011,1,看一下ㄦ,have a look,
4041011,2,打听一下,make some inquiries,
4041011,3,研究一下。,think it over; mull it over,
4041012,1,灯一下ㄦ又亮了,After a little while the lights went on again.,
4041012,2,"这天气,一下冷,一下热。",Look at this weather. It's cold one moment and hot the next.,
4041012,3,also一下子,yīxià·zi,
4041111,1,他一世没出过远门。,All his life he's never been far away from home.,
4041112,1,一世之雄。,hero of an age,
4041311,1,脸上露出了一丝笑容。,There is a faint smile on (his) face.,
4041711,1,多此一举,make an unnecessary move,
4041711,2,成败在此一举,Success or failure hinges on this one action.,
4041711,3,一举捣毁敌人的巢穴。,destroy the enemy's lair with one stroke,
4041911,1,这家药铺和城里同仁堂药铺是一事。,This drug store and the Tongrentang Pharmacy downtown are of the same organization.,
4042111,1,一二知己,a few close friends,
4042111,2,略知一二(自谦所知不多,term of self-depreciation,
4042311,1,"这些活ㄦ你做不完,分一些给我。",You can't finish that much work. Give some of it to me.,
4042312,1,"只有这一些ㄦ了,怕不够吧?",There's only this much left. Is it enough?,
4042313,1,他曾担任过一些重要的职务。,He held some important posts in the past.,
4042314,1,好一些,a bit better,
4042314,2,留神一些,be more careful,
4042314,3,想开一些。,Take it easier.,
4042511,1,"一从别后,音信杳然。",No word has come from him since he left.,
4042811,1,一体周知,be made known to all people concerned,
4042811,2,一体遵照。,be observed by all,
4042812,1,一体周知,be made known to all people concerned,
4042812,2,一体遵照。,be observed by all,
4042911,1,一例看待。,treat in the same way,
4043111,1,一偏之见,one-sided view,
4043111,2,一偏之论。,one-sided argument,
4043211,1,一元化领导。,unified (or centralized) leadership,
4043212,1,一元化领导。,unified (or centralized) leadership,
4043411,1,明ㄦ我一准进城。,I'll surely go to town tomorrow.,
4043711,1,一刬都是新的。,All are new.,
4043712,1,一刬地残害忠良。,constantly persecute the faithful and the upright,
4043911,1,一刻千金(形容时光非常宝贵)。,"One moment is worth 1,000 pieces of gold. or Time is precious.",
4044011,1,一力成全,do one's best to help (sb. to achieve his aim),
4044011,2,一力主持,do one's best to preside over,
4044011,3,一力承担。,do one's best to take charge of sth.,
4044111,1,一动就发脾气,lose one's temper frequently,
4044111,2,一动ㄦ就哭。,weep easily,
4044311,1,"车钱、店钱、饭钱,一包在内,花了五十块钱。","I spent 50 yuan, fares, hotel, meals all included.",
4044411,1,"把菜子分给他们一半ㄦ,咱们有一半ㄦ也就够了。",Let's give them half the vegetable seeds; half is enough for us.,
4044511,1,过一半天就给你送去。,I'll send it to you in a day or two.,
4044711,1,"如果处理不当,就一发不可收拾了。","If not handled properly, the situation will become even more hopeless.",
4044712,1,"你先把这些急用的材料领走,明天一发登记。","You may take these urgent materials first, and register along with all the others tomorrow.",
4044911,1,"这孩子普通话说得很流利,可半年前还是一口的广东话呢。","This child speaks fluent putonghua, but half a year ago all he could speak was the Guangdong dialect.",
4044912,1,一口否认,flatly deny,
4044912,2,一口咬定。,cling to one's view; stick to what one says,
4045011,1,"只要她还有一口气,就要尽力抢救。","As long as there is a breath left in her, we must do our best to save her.",
4045012,1,一口气ㄦ说完,finish a narration without a break,
4045012,2,一口气跑到家。,run home at one go,
4045311,1,一同出发,set out together,
4045311,2,一同欢度新年。,spend the New Year's Day together,
4045411,1,一味迁就,make endless concessions; make one concession after another,
4045411,2,一味推托。,find one excuse after another for not doing sth.,
4046711,1,闹得一塌糊涂,make a terrible row,
4046711,2,烂得一塌糊涂。,totally rotten,
4046811,1,小组成员一多半是年轻人。,Most of the members of this group are young people.,
4046911,1,一天二十四小时。,twenty-four hours a day,
4046912,1,一天一夜。,one day and one night,
4046913,1,"一天,他谈起当演员的经过。","One day, he talked of how he became an actor.",
4047211,1,"他一头走,一头说。",He talked as he walked.,
4047212,1,"打开车门,他一头钻了进去。",He opened the door and dived into the car.,
4047213,1,"刚进门,一头碰见了他。",I bumped into him the moment I came in.,
4047214,1,一头扑进水里,plunge headlong into the water,
4047214,2,一头倒在床上。,collapse into the bed,
4047215,1,"扁担的一头挑着篮子,另一头挂着水罐。","A basket was being carried at one end of the shoulder pole, and a water pitcher at the other.",
4047216,1,他比你高出一头。,He is a head taller than you are.,
4047217,1,"昨天打桥牌,我和老王一头,小张和小李一头。","We played bridge yesterday, Lao Wang and I on one side against Little Zhang and Little Li on the other.",
4047218,1,他们是一头来的。,They came together.,
4047411,1,一如所见,just like what we've seen,
4047411,2,一如所闻,just as what we've heard,
4047411,3,一如所请。,just as we've requested,
4048212,1,"屋子里窗明几净,一尘不染。",The room is spotlessly clean with bright windows and clean tables.,
4048311,1,"万一有个一差二错,就麻烦了。","Just in case there is a slip somewhere, it would be troublesome.",
4048411,1,一己之私。,one's own selfish interests,
4048511,1,北京一带,Beijing area,
4048511,2,江南一带雨量充足。,The area south of the Yangtze River enjoys plentiful rainfall.,
4048711,1,你这一席话对我很有启发。,What you said was a great inspiration to me.,
4048811,1,一干人,all those involved,
4048811,2,一干人犯。,the criminals and all those involved in the case,
4048911,1,一年到头不得闲。,be busy all year round,
4049111,1,一并办理,be handled together,
4049111,2,一并报销。,be reimbursed together,
4049211,1,一应俱全,Everything needed is there.,
4049211,2,一应工具、材料都准备好了。,All the tools and materials are ready.,
