hanzi,definition_id,definition_cn,example_cn
生,2029,"戏曲角色行当,扮演男子,有老生、小生、武生等区别。","老生|小生|武生"  
会,3026,"民间朝山进香或酬神求年成时所组织的集体活动,如香会、迎神赛会等。","香会|庙会"  
会,3027,"民间一种小规模经济互助组织,入会成员按期平均交款,分期轮流使用。","互助会|标会|摇会"  
主,4515,"基督教徒对上帝、伊斯兰教徒对真主的称呼。","天主|真主|救世主"  
种,5234,"指胆量或骨气(跟‘有、没有’连用)","有种|没种|硬种|软种|孬种"  
经,5522,"〈中医〉指人体内气血运行通路的主干。","经脉|经络|经气"  
面,6416,"几何学上指一条线移动所构成的图形,有长有宽,没有厚。","平面|曲面|斜面|截面|球面"  
业,10116,"佛教徒称一切行为、言语、思想为业,分别叫做身业、口业、意业,合称三业,包括善恶两面,一般专指恶业。","业障|业报|恶业"  
高,10413,"三角形、平行四边形等从底部到顶部(顶点或平行线)的垂直距离。","高线"  
十,10511,"数目,九加一后所得。","十指|十成|十位"  
水,11211,"最简单的氢氧化合物，化学式H2O。无色、无味、无臭的液体，在标准大气压下，冰点0℃，沸点100℃，4℃时密度最大，比重为1。","河水|井水|开水|雨水|海水"  
三,11711,"数目,二加一后所得。","三更|三个|三位|第三"  
点,12031,"铁制的响器,挂起来敲,用来报告时间或召集群众。","更点|钟点|报点"  
点,12033,"时间单位,一昼夜的二十四分之一。","两点|下午五点|一点半"  
度,12422,"表明物质的有关性质所达到的程度,如硬度、热度、浓度、湿度等。","温度|硬度|浓度|湿度"  
度,12423,"计量单位名称。","零度|一弧度"  
度,12427,"哲学上指一定事物保持自己质的数量界限。在这个界限内,量的增减不改变事物的质,超过这个界限,就要引起质变。","限度|临界度"  
道,12626,"说(跟文言‘曰’相当,多见于早期白话)","说道|念道|唱道"  
相,13024,"相位。","相位|三相|单相"  
相,13025,"交流电路中的一个组成部分,如三相交流发电机有三个绕组,每个绕组叫做一相。","相线|相电压|相电流"  
相,13031,"某些国家的官名,相当于中央政府的部长。","首相|宰相|外相"  
关,13618,"‘关上’的简称。","关门|关灯|关窗"  
头,14321,"人身最上部或动物最前部长着口、鼻、眼等器官的部分。","头颅|头骨|虎头|牛头"  
量,14511,"指测量东西多少的器物,如斗、升等。","量斗|量具|量器"  
表,14618,"测日影的标杆。","圭表|日表|表影"  
系,15123,"年代地层单位的第三级,小于界,跟系相应的地质年代叫做纪。","石炭系|二叠系"  
手,16711,"人体上肢前端能拿东西的部分。","手指|手掌|手腕|手心|手背"  
儿,17415,"名词后缀,主要有下面几种作用。","盆儿|棍儿|画儿|盖儿|尖儿"  
第,18711,"用在整数的数词的前边,表示次序,如第一、第十。","第一|第十|第五|第八|第三"  
电,18811,"有电荷存在和电荷变化的现象。电是一种很重要的能源,广泛用在生产和生活各方面,如发光、发热、产生动力等。","电流|电压|电阻|电池|电线"  
立,19016,"指君主即位。","桓公立|立君"  
品,19713,"封建时代官吏的级别,共分九品。","七品知县|九品中正"  
别,20030,"摔跤时用腿使绊把对方摔倒。","别腿|别倒"  
回,20716,"谢绝(邀请);退掉(预定的酒席等);辞去(伙计、佣工)。","回绝|回席|回工"  
海,20811,"大洋靠近陆地的部分,有的大湖也叫海,如青海、里海。","海岸|海湾|海岛|海港"  
数,22632,"数学上表示事物的量的基本概念,如自然数、整数、分数、有理数、无理数、实数、复数等。","整数|分数|小数|有理数|无理数"  
数,22633,"一种语法范畴,表示名词或代词所指事物的数量,例如英语名词有单、复两种数。","单数|复数|数词"  
门,22820,"生物学中把具有最基本最显著的共同特征的生物分为若干群,每一群叫一门,如原生动物门、裸子植物门等。门以下为纲。","脊椎动物门|节肢动物门|蕨类植物门"  
门,22821,"压宝时下赌注的位置名称,也用来表示赌博者的位置,有‘天门’、‘青龙’等名目。","天门"  
光,23211,"通常指照在物体上,使人能看见物体的那种物质,如太阳光、灯光、月光等。可见光是波长0.77—0.39微米的电磁波。此外还包括看不见的红外光和紫外光。因为光是电磁波的一种,所以也叫光波;在一般情况下光沿直线传播,所以也叫光线。","阳光|月光|灯光|火光|荧光"  
口,23711,"人或动物进饮食的器官,有的也是发声器官的一部分。","口腔|口舌|口鼻"  
场,25826,"戏剧中较小的段落, 每场表演故事的一个片段。","场幕|场戏"  
直,26017,"汉字的笔画，即“竖”。","横直|竖直|直钩"  
