example_id,definition_id,example_sn,example_cn
61087,61067,1,遭人诘难
61088,61068,1,他的左肺叶有些感染｜医生正在检查他的肺叶
61089,61069,1,他手慢总是赶不上公交车｜别手慢了，快点儿行动
61090,61070,1,寻摸几幅好画｜帮我寻摸点儿吃的来。
61091,61071,1,受坏人挑唆
61092,61072,1,医生开了磺胺给他消炎｜这种磺胺药效果很好
61093,61073,1,士兵们正在河边饮马｜他每天都要饮马两次
61094,61074,1,皇帝颁布了新的诏令｜这份诏令必须立即执行
61095,61075,1,诏令天下
61096,61076,1,隐逸山林
61097,61077,1,山野隐逸，海滨遗老。
61098,61078,1,柔肠似水｜柔肠寸断
61099,61079,1,持论有据
61100,61080,1,今晚他将攻擂卫冕冠军｜这位选手准备攻擂夺冠
61101,61081,1,给越狱逃犯加刑
61102,61082,1,医生建议他做包皮手术｜包皮过长需要及时治疗
61103,61083,1,这个礼品的包皮很精美｜撕开包皮就能看到产品
61104,61084,1,他因肾结石疼痛难忍｜多喝水可以预防肾结石
61105,61085,1,街边有卖臭豆腐的小摊｜臭豆腐闻着臭吃着香
61106,61086,1,她穿了一件漂亮的比基尼去海滩。｜这件比基尼的颜色很鲜艳。
61107,61087,1,这个地区位于地震断裂带｜断裂带附近很危险
61108,61088,1,德军采用闪电战突袭波兰｜这场闪电战十分成功
61109,61089,1,处处打算盘为公家省钱。
61110,61090,1,爷爷还在用手打算盘｜他打算盘的速度很快
61111,61091,1,这个转播台信号很清晰｜转播台不制作节目
61112,61092,1,妈妈用柿子椒炒肉片｜柿子椒不怎么辣
61113,61093,1,爷爷还留着解放鞋｜解放鞋很耐穿
61114,61094,1,这片落叶松长势很好｜落叶松木材很坚实
61115,61095,1,她每天吃螺旋藻保健｜螺旋藻营养很丰富
61116,61096,1,他因表现不好卷铺盖了｜她决定卷铺盖辞职
61117,61097,1,舞蹈队在排练场练习｜排练场设备很齐全
61118,61098,1,她的表演丝丝入扣｜这篇文章写得丝丝入扣
61119,61099,1,临危不惧，处之泰然｜人家急得要命，他却处之泰然。
61120,61100,1,现场搞得人仰马翻｜敌军被人打得人仰马翻
61121,61101,1,他就喜欢舞文弄墨｜别整天舞文弄墨了
61122,61102,1,他们终于言归于好｜希望你们能言归于好
61123,61103,1,他大腹便便地走来｜大腹便便的他走得很慢
61124,61104,1,这样做是矫枉过正｜纠正错误不要矫枉过正
