rank,cihui,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
70144,嘀哒,dīdā,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>嘀哒</x-hw><x-pr> dīdā</x-pr>现在一般写作“嘀嗒（dā）”<x-f>。</x-f></dt>
"
70430,搐动,chùdòng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>搐 <x-g>动</x-g> </x-hw><x-pr> chùdòng</x-pr><br><x-gram>动</x-gram>（肌肉等）抽搐<x-f>。</x-f></dt><dd><x-ex>他昏倒在地，手脚<x-key>搐动</x-key>起来<x-f>。</x-f></x-ex></dd>
"
71307,澹泊,dànbó,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>澹泊</x-hw><x-pr> dànbó</x-pr><br>现在规范词形写作“<a href=""entry://淡泊"" type=""normalized"">淡泊</a>”<x-f>。</x-f>
"
71394,人造棉,rénzàomián,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>人造棉</x-hw><x-pr> rénzàomián</x-pr><br><x-gram>名</x-gram>人造纤维的一种，长度和纤度与棉纤维相仿，可纯纺或同棉、其他纤维混纺<x-f>。</x-f></dt>
<dt>见“<a href=""entry://人造纤维"" type=""see"">人造纤维</a>”<x-f>。</x-f>
"
71510,烂熳,lànmàn,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>烂熳</x-hw><x-pr> lànmàn</x-pr><br>现在规范词形写作“<a href=""entry://烂漫"" type=""normalized"">烂漫</a>”<x-f>。</x-f>
"
71563,膑骨,bìngǔ,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>膑骨</x-hw><x-pr> bìngǔ</x-pr><br>现在规范词形写作“<a href=""entry://髌骨"" type=""normalized"">髌骨</a>”<x-f>。</x-f>
"
71809,词头,cítóu,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>词头</x-hw><x-pr> cítóu</x-pr><br><x-gram>名</x-gram>词的前缀<x-f>。</x-f></dt>
<dt>见“<a href=""entry://词缀"" type=""see"">词缀</a>”<x-f>。</x-f>
"
72209,日偏食,rìpiānshí,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>日偏食</x-hw><x-pr> rìpiānshí</x-pr><br><x-gram>名</x-gram>日食的一种<x-f>。</x-f></dt>
<dt>见“<a href=""entry://日食"" type=""see"">日食</a>”<x-f>。</x-f>
"
72814,嚅动,rúdòng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>嚅 <x-g>动</x-g> </x-hw><x-pr> rúdòng</x-pr><br><x-gram>动</x-gram>因想说话而嘴唇微动<x-f>。</x-f></dt><dd><x-ex>急得他<x-key>嚅动</x-key>着嘴巴却说不出话来<x-f>。</x-f></x-ex></dd>
"
73227,糜费,mífèi,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>糜费</x-hw><x-pr> mífèi</x-pr><br>现在规范词形写作“<a href=""entry://靡费"" type=""normalized"">靡费</a>”<x-f>。</x-f>
"
73468,拾人牙慧,shírényáhuì,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>拾人牙慧</x-hw><x-pr> shírényáhuì</x-pr>比喻抄袭或因袭别人的言论或观点，没有自己的独立见解<x-f>。</x-f></dt>
<dt>见“<a href=""entry://牙慧"" type=""see"">牙慧</a>”<x-f>。</x-f>
"
74250,走露,zǒulòu,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>走露</x-hw><x-pr> zǒulòu</x-pr>
<dt>见“<a href=""entry://走漏"" type=""see"">走漏</a>”<x-f>。</x-f>现在一般写作“走漏”<x-f>。</x-f></dt>
"
74252,黝暗,yǒu'àn,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>黝暗</x-hw><x-pr> yǒu'àn</x-pr>现在一般写作“黝黯”<x-f>。</x-f></dt>
"
74633,希世,xīshì,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>希世</x-hw><x-pr> xīshì</x-pr><br>现在规范词形写作“<a href=""entry://稀世"" type=""normalized"">稀世</a>”<x-f>。</x-f>
"
