definition_id,example_sn,example_cn,example_en,example_img
111,1,射箭比赛中，他连续三次命中靶的，赢得了全场喝彩。,"In the archery competition, he hit the bullseye three times in a row, winning cheers from the entire audience.",
121,1,这位老者的言行举止都透露着的的确确的智慧。,The words and actions of this elderly man reveal genuine wisdom.,
131,1,这本书的封面设计得非常精美，吸引了很多读者。,"The cover design of this book is very exquisite, attracting many readers.",
132,1,桌子上摆着红的、黄的、绿的各种颜色的水果。,"There are fruits of various colors on the table, such as red, yellow, and green.",
133,1,这幅画是他去年在巴黎画的的，充满了浪漫的气息。,"This painting was done by him in Paris last year, full of romantic atmosphere.",
134,1,你放心，这件事我一定会帮你解决的。,"Don't worry, I will definitely help you solve this matter.",
135,1,超市里卖的水果有苹果的、香蕉的、橙子的，种类很丰富。,"The fruits sold in the supermarket include apples, bananas, oranges, and so on, with a wide variety.",
136,1,这个箱子长一米的、宽半米的，正好能放进后备箱。,"This box is one meter long and half a meter wide, just fitting into the trunk.",
231,1,他只用了一分钟就解出了这道复杂的数学题。,He solved this complex math problem in just one minute.,
232,1,我们来自同一个城市，说着一样的方言。,We come from the same city and speak the same dialect.,
233,1,这个故事有两个版本，一个说的是真相，另一个则是虚构的。,"There are two versions of this story, one tells the truth, and the other is fictional.",
234,1,春节的时候，全家人一起吃了一顿丰盛的年夜饭。,"During the Spring Festival, the whole family had a sumptuous reunion dinner together.",
235,1,他对科学研究一心一意，从不被外界干扰。,He is wholeheartedly devoted to scientific research and is never disturbed by external factors.,
236,1,他抬头一看，发现天空中出现了一道美丽的彩虹。,He looked up and saw a beautiful rainbow appearing in the sky.,
237,1,他一说出口，就意识到自己不该泄露这个秘密。,"As soon as he said it, he realized he shouldn't have revealed the secret.",
238,1,他一听到这个消息，立刻放下手头的工作赶了过去。,"As soon as he heard the news, he immediately put down his work and rushed over.",
239,1,这座古建筑一砖一瓦都体现了古代工匠的智慧。,Every brick and tile of this ancient building reflects the wisdom of ancient craftsmen.,
240,1,这首曲子以“宫商角徵羽”五音为基础，一音一调都恰到好处。,"This piece is based on the five notes 'Gong, Shang, Jue, Zhi, Yu,' with each note and tone perfectly placed.",
311,1,他的回答完全正确，老师满意地点了点头。,"His answer was completely correct, and the teacher nodded in satisfaction.",
312,1,古人云：“知之为知之，不知为不知，是知也。”,"The ancients said: 'To know what you know and what you do not know, that is true knowledge.'",
313,1,老师问我们是否完成了作业，我们都回答‘是’。,"The teacher asked if we had finished our homework, and we all answered 'yes'.",
314,1,是先生是我们学校的校长，大家都非常尊敬他。,"Mr. Shi is the principal of our school, and everyone respects him very much.",
315,1,是日天气晴朗，我们决定去郊外野餐。,"The weather was clear on this day, so we decided to have a picnic in the countryside.",
316,1,这本书是我最喜欢的生日礼物，因为它充满了知识。,This book is my favorite birthday gift because it is full of knowledge.,
317,1,这些花是红色的，而那些花是黄色的，颜色对比很鲜明。,"These flowers are red, while those flowers are yellow, creating a vivid color contrast.",
318,1,他是我们班上最勤奋的学生，每天都学习到很晚。,"He is the most diligent student in our class, studying late every day.",
319,1,桌子上是一本厚厚的词典，旁边还有几支笔。,"On the table is a thick dictionary, with a few pens beside it.",
320,1,你是你，我是我，我们虽然认识，但性格完全不同。,"You are you, and I am me; although we know each other, our personalities are completely different.",
321,1,这件衣服贵是贵，但质量确实非常好，值得购买。,"This piece of clothing is expensive, but the quality is indeed very good, making it worth buying.",
322,1,是哪个小朋友把玩具丢在地上没有收拾？,Which child left the toy on the floor without picking it up?,
323,1,是学生就应该好好学习，珍惜每一分每一秒的时间。,All students should study hard and cherish every minute and every second of their time.,
324,1,这件衣服的颜色是适合你的肤色，穿起来特别好看。,The color of this piece of clothing suits your skin tone and looks especially good on you.,
325,1,你是想去公园散步，还是想去商场购物？,Do you want to take a walk in the park or go shopping at the mall?,
326,1,我昨天是看见他了，就在图书馆的门口。,"I did see him yesterday, right at the entrance of the library.",
421,1,今天天气不好，不适合外出游玩，我们改天再去吧。,"The weather is not good today, so it's not suitable for going out; let's go another day.",
