definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,better
111,的,dì,名词,箭靶的中心部位,我们的目的是为了更好地服务大家。,射箭比赛中，他连续三次命中靶的，赢得了全场喝彩。,2
121,的,dí,形容词,表示真实或确实,他做事向来稳当，从不草率行事。,这位老者的言行举止都透露着的的确确的智慧。,2
131,的,de,助词,用于定语之后，表示修饰关系,军队必须要有铁的纪律才能打胜仗。,这本书的封面设计得非常精美，吸引了很多读者。,1
132,的,de,助词,构成名词性结构，相当于名词短语,这是我的书，那才是你的笔记本。,桌子上摆着红的、黄的、绿的各种颜色的水果。,1
133,的,de,助词,用于谓语动词后，强调动作的执行者或相关要素,谁买的这本书？,这幅画是他去年在巴黎画的的，充满了浪漫的气息。,1
134,的,de,助词,用于陈述句末尾，表示肯定语气,这件事我知道的很清楚。,你放心，这件事我一定会帮你解决的。,1
135,的,de,助词,用于同类词或词组后，表示列举未尽,破铜烂铁的，他捡来一大筐，准备卖掉换钱。,超市里卖的水果有苹果的、香蕉的、橙子的，种类很丰富。,1
136,的,de,助词,用于两个数量词之间,这间屋子是五米的三米，合十五平方米，足够一个人居住。,这个箱子长一米的、宽半米的，正好能放进后备箱。,1
232,一,yī,形容词,相同的；没有区别的。,对待所有学生应该一视同仁，不分彼此。,我们来自同一个城市，说着一样的方言。,1
233,一,yī,形容词,另外的；不同的。,番茄一名西红柿，是一种非常常见的蔬菜。,这个故事有两个版本，一个说的是真相，另一个则是虚构的。,1
234,一,yī,形容词,全部的；整个的。,这个村庄整个一冬都被大雪覆盖。,春节的时候，全家人一起吃了一顿丰盛的年夜饭。,1
235,一,yī,形容词,专心致志的；不分散的。,他一心一意地专注于自己的事业。,他对科学研究一心一意，从不被外界干扰。,1
236,一,yī,副词,表示动作短暂或尝试性。,走了一天路，我们决定歇一歇再继续前进。,他抬头一看，发现天空中出现了一道美丽的彩虹。,2
237,一,yī,副词,用于动词前，表示先做某个动作。,他一跳跳了过去，轻松越过了那道障碍。,他一说出口，就意识到自己不该泄露这个秘密。,1
238,一,yī,连词,表示条件关系，相当于“如果”。,一失足成千古恨，他后悔自己当初的选择。,他一听到这个消息，立刻放下手头的工作赶了过去。,1
239,一,yī,助词,用于加强语气。,他的进步一何速也，令人刮目相看。,这座古建筑一砖一瓦都体现了古代工匠的智慧。,2
311,是,shì,形容词,正确的,这个人一无是处，做什么都不成功。,他的回答完全正确，老师满意地点了点头。,1
312,是,shì,动词,赞同某种观点,有些人总是喜欢是古非今，认为过去的一切都比现在好。,古人云：“知之为知之，不知为不知，是知也。”,2
313,是,shì,其他,表示肯定的回答,是，我知道这件事情的来龙去脉。,老师问我们是否完成了作业，我们都回答‘是’。,2
315,是,shì,代词,指示代词，指代当前事物,如是，我便不再多问了。,是日天气晴朗，我们决定去郊外野餐。,2
316,是,shì,动词,表示两者相同或后者说明前者属性,节约是不浪费的意思。,这本书是我最喜欢的生日礼物，因为它充满了知识。,2
317,是,shì,动词,用于分类说明,这张桌子是石头的，看起来非常坚固耐用。,这些花是红色的，而那些花是黄色的，颜色对比很鲜明。,2
318,是,shì,动词,表示主语的状态,他是一片好心，总是愿意帮助别人。,他是我们班上最勤奋的学生，每天都学习到很晚。,2
319,是,shì,动词,表示某处存在某物,村子前面是一片水田，每到夏天都会种满绿油油的稻谷。,桌子上是一本厚厚的词典，旁边还有几支笔。,2
320,是,shì,动词,强调不同事物的区别,去年是去年，今年是今年，你当年年一个样哪！时间在变，你也应该有所改变。,你是你，我是我，我们虽然认识，但性格完全不同。,1
321,是,shì,动词,表示让步关系,诗是好诗，就是长了点，读起来需要耐心。,这件衣服贵是贵，但质量确实非常好，值得购买。,1
322,是,shì,其他,用于强调语气,是谁告诉你的？这个问题让我很好奇。,是哪个小朋友把玩具丢在地上没有收拾？,1
323,是,shì,其他,表示全部或每一个,是有利于群众的事情他都肯干，这种精神值得我们学习。,是学生就应该好好学习，珍惜每一分每一秒的时间。,1
324,是,shì,助词,用于名词前，表示‘合适’或‘恰当’,他想的很是路，总能找到解决问题的办法。,这件衣服的颜色是适合你的肤色，穿起来特别好看。,2
325,是,shì,助词,用于选择问句、是非问句或反问句中,你是吃米饭是吃面？今天咱们就来个简单的选择吧。,你是想去公园散步，还是想去商场购物？,2
326,是,shì,副词,（需重读）表示强烈肯定，意为‘的确、实在’,我打听清楚了，他那天是没去，这让我松了一口气。,我昨天是看见他了，就在图书馆的门口。,2
421,不,bù,副词,用于动词、形容词前表示否定,不去就不去吧，反正也没什么重要的事情。,今天天气不好，不适合外出游玩，我们改天再去吧。,2
422,不,bù,形容词,加在名词前构成形容词,不法行为必须受到法律的严惩，这样才能维护社会的公平正义。,这个房间的布局很不合理，家具摆放得乱七八糟。,1
423,不,bù,副词,单独使用表示否定回答,他知道吗？——不，他不知道。这件事还是不要告诉他比较好。,你明天有空吗？不，我明天全天都要开会。,2
424,不,bù,助词,方言中用于句末表示疑问,他现在身体好不？如果不好，我们应该去看看他。,你晚上想吃火锅不？我听说新开的那家店很不错。,2
425,不,bù,副词,表示动作不可能完成,拿不动就别勉强了，我们可以找别人帮忙。,这个箱子太重了，我一个人搬不动，需要帮忙。,2
426,不,bù,副词,重复使用表示不在乎,什么累不累的，有工作就得做，这才是负责任的态度。,什么困难不困难的，只要大家一起努力，总能解决的。,1
427,不,bù,连词,与'就'连用表示选择,晚上他不是看书，就是写文章，生活过得非常充实。,周末不是去爬山，就是去看电影，总要选一个活动。,1
428,不,bù,副词,方言中表示'不用',不谢，这是我应该做的，大家都是朋友嘛。,您太客气了，不送不送，我自己走就行。,1
511,了,le,助词,表示动作完成的助词,这个小组受到了表扬，因为他们的表现非常出色。,我已经吃完了晚饭，现在可以休息一会儿了。,2
512,了,le,助词,表示情况变化的句末助词,天突然阴沉下来，不一会儿就下雨了。,天气突然变冷了，记得多穿点衣服。,2
521,了,liǎo,动词,完成或结束,这件事情终于了结，大家都松了一口气。,这项工程终于了结了，大家都松了一口气。,1
522,了,liǎo,动词,表示可能性的动词补语,这点小事你一定办得了，我相信你的能力。,这么复杂的数学题，我实在做不了，需要请教老师。,1
523,了,liǎo,副词,完全（否定）,这两件事情完全了不相涉，不能混为一谈。,他对这件事毫不知情，了无兴趣参与讨论。,1
524,了,liǎo,动词,理解或知晓,听了他的解释，我心里顿时了然，不再纠结。,经过老师的耐心讲解，我终于了悟了这道题的解法。,1
611,在,zài,动词,存在；活着,虽然他已经离开了，但他的精神永在我们心中。,古老的传说中，这座山里住着一条巨龙。,1
612,在,zài,动词,表示人或事物所处的位置,我今天晚上不在厂里，有事可以打电话找我。,我的钥匙在桌子上，你帮我拿一下好吗？,2
613,在,zài,动词,停留于某处,他目前在职，工作非常忙碌。,他毕业后一直在家乡工作，没有去大城市发展。,1
614,在,zài,动词,属于或加入某个组织,作为一名党员，他始终牢记自己在党旗下的誓言。,她在大学时在学生会担任过重要职务。,1
615,在,zài,动词,取决于；关键在于,事在人为，只要努力，总会有希望。,能否成功在于你是否付出了足够的努力。,1
616,在,zài,动词,与“所”连用表示强调,为了完成任务，即使困难重重，他也表示在所不辞。,在所不惜代价的情况下，他一定要完成这个项目。,1
617,在,zài,介词,表示时间、地点或范围,这件事情发生在去年，至今让人记忆犹新。,在寒冷的冬天里，一杯热茶能让人感到温暖。,2
618,在,zài,副词,表示动作正在进行,风在刮，雨在下，这样的天气让人感到格外寒冷。,孩子们正在操场上开心地玩耍，笑声不断。,2
721,有,yǒu,动词,拥有或持有,我有《鲁迅全集》，可以借给你阅读。,我有一本非常有趣的科幻小说，你想借阅吗？,1
722,有,yǒu,动词,表示某物存在,屋里有十来个人，正在热烈地讨论着什么。,桌子上有一束新鲜的玫瑰花，散发着淡淡的香气。,2
723,有,yǒu,动词,用于比较或估计,这条河的水有一丈多深，非常危险。,这座山有三百多米高，爬上去需要一定的体力。,2
724,有,yǒu,动词,表示事件发生或出现,他有病了，所以今天没能来参加会议。,最近公司有了很大的变化，引进了不少新技术。,2
725,有,yǒu,动词,表示数量多或程度大,这位老师非常有学问，学生们都很敬佩他。,这片森林里有各种各样的野生动物。,1
726,有,yǒu,动词,泛指某些人或事物,有一天他来了，带来了许多有趣的故事。,有一天，他突然决定放弃高薪工作去旅行。,2
727,有,yǒu,动词,表示部分人或事物,"有人性子急,有人性子慢，这是很常见的性格差异。",有些人喜欢早起，有些人则习惯晚睡。,2
728,有,yǒu,动词,用于礼貌用语中,有劳您帮忙处理一下这个问题。,有劳您帮我看看这份文件是否有问题。,1
729,有,yǒu,前缀,用于某些朝代名称前,有夏这个季节总是让人感到炎热难耐。,有唐一代是中国历史上文化繁荣的时期。,2
811,人,rén,名词,能制造和使用工具的高等动物,男人通常被认为应该更加坚强和果断。,人类能够创造和使用工具是与其他动物的本质区别。,2
812,人,rén,名词,泛指所有人,这次活动要求人手一册，确保每个人都能参与其中。,人人都应该遵守交通规则以确保道路安全。,2
813,人,rén,名词,成年个体,经过多年的努力，他终于长大成人。,他已经十八岁了，在法律上被视为成年人。,2
814,人,rén,名词,特定类别的人群,工人是社会建设的重要力量。,作为一名商人，他需要经常与不同的人打交道。,1
815,人,rén,代词,除自己外的其他人,做人不能人云亦云，要有自己的独立思考。,他总是先为别人着想，很少考虑自己的利益。,2
816,人,rén,名词,人的品性、性格或名声,他的行为让家人感到非常丢人。,她为人和善，在同事中有着很好的口碑。,2
817,人,rén,名词,人的身体状况或意识状态,这两天人不大舒服，可能是感冒了。,经过长时间的工作，他感到整个人都很疲惫。,2
818,人,rén,名词,人力资源或人才,公司里人浮于事的现象导致效率低下。,我们公司现在正缺人，急需招聘几名技术人员。,2
911,这,zhè,代词,指示较近的人或事物,这本杂志的内容非常丰富，涵盖了多个领域。,这本书的内容非常有趣，我推荐你也读一读。,2
912,这,zhè,代词,指当前的时间,他这才知道运动的好处，决定以后每天坚持锻炼。,这都什么时候了，你怎么还在睡觉？,2
1021,上,shàng,动词,从低处向高处移动,他们费了好大的劲才爬上山顶。,他每天早晨都会上山锻炼身体，呼吸新鲜空气。,2
1022,上,shàng,动词,达到预期目标,出门前记得锁上门，以免发生意外。,经过三个月的努力，他终于考上了理想的大学。,2
1023,上,shàng,动词,动作开始并持续,自从她爱上了农村，便决定在那里定居下来。,春节一过，农民们就马上开始准备春耕了。,2
1031,上,shang,助词,表示物体表面的方位,她的脸上洋溢着幸福的笑容。,桌子上放着一杯热气腾腾的咖啡。,2
1032,上,shang,助词,表示在某个范围内,他在会上提出了一个重要的建议。,这本书在图书馆的书架上可以找到。,1
1033,上,shang,助词,表示某个方面,组织上已经对这件事情做出了明确的安排。,他在音乐上的造诣令人钦佩。,2
1034,上,shàng,形容词,处于较高位置,这本书的上部主要讲述了主人公的童年生活。,山顶上的风景非常壮观。,2
1035,上,shàng,形容词,质量或等级较高,这是一份上等的茶叶，香气扑鼻。,这家餐厅的服务质量属于上等水平。,1
1036,上,shàng,形容词,时间或顺序在前,请把书的上卷拿给我，我要查阅其中的内容。,上个月的销售额比这个月高出许多。,2
1037,上,shàng,名词,古代对帝王的称呼,皇帝颁布了一道上谕。,古代大臣们每日都要上朝面见皇帝。,2
1038,上,shàng,动词,朝向上方,公司要求所有员工必须按时上缴工作报告。,他抬头向上看，发现一只小鸟停在树枝上。,2
1039,上,shàng,动词,由低处升至高处,周末我们一起去上山采蘑菇。,孩子们兴高采烈地爬上了山顶。,2
1040,上,shàng,动词,前往某地,今天天气很好，我打算上街买些水果。,我们明天早上八点准时上飞机。,2
1041,上,shàng,动词,提交给上级,他决定上书给有关部门反映问题。,他写了一封长信上呈给上级领导。,1
1042,上,shàng,动词,向前进,老张快上，投篮！这是一个关键的得分机会。,运动员们奋勇上前，争夺比赛的胜利。,2
