definition_id,example_sn,example_cn,example_en,example_img
553511,1,黑白电视,black and white TV,
553512,1,黑白电视,black and white TV,
553711,3,"语言这东西,不是随便可以学好的,非下苦功不可",One can't learn a language well without making painstaking efforts.,
553712,3,这小东西真可爱。,What a cute little thing!,
553721,1,"这座城东西三里,南北五里。",The city is three li across from east to west and five li from north to south.,
553722,1,"这座城东西三里,南北五里。",The city is three li across from east to west and five li from north to south.,
554011,1,"对不起,让您久等了。",I'm sorry to have kept you waiting for so long.,
554211,1,这个村子有多少人家?,How many households are there in this village?,
554212,2,"有多少人,准备多少工具。",Prepare as many tools as there are people.,
554221,1,"多少不等,长短不齐。",vary in amount or number and in length,
554222,1,这句话多少有点道理。,There is something in this statement.,
554223,1,"一立秋,天气多少有点凉意了。",One begins to feel a slight chill when autumn comes.,
554311,1,二儿子,second son,
554711,1,"听说你要来,我们全家都很高兴。",Our entire family was glad to hear that you were coming.,
554712,1,"他就是高兴看电影,对看戏不感兴趣。",He is fond of films but not at all interested in the theatre.,
554911,3,铲土机正在工作。,The spading machine is in operation.,
554912,2,工作没有贵贱之分。,No work is superior or inferior to any other work.,
554913,4,科学研究工作。,scientific research,
555611,2,"前面坐满了,后面还有座位。","The front seats have been occupied, but there are still some available at the back.",
555612,1,"关于这个问题,后面还要详细说。",I'll give the details about this issue later.,
556211,1,今天的事不要放到明天做。,You should not put off till tomorrow what you can do today.,
556212,1,今天的中国已经不是解放前的中国了。,China today is no longer what it was before liberation.,
556611,3,从来没看见过这样的怪事。,Never have (I) seen anything so weird.,
558211,1,展望美好的明天。,look forward to the bright future,
558212,1,展望美好的明天。,look forward to the bright future,
558311,1,他现在的名字是上学时老师给起的。,His current name was given by his teacher when he was at school.,
558312,1,这村子的名字叫张各庄。,The name of this village is Zhanggezhuang.,
559111,1,"姑娘多大了,有朋友了没有?",How old is she and has she got a boyfriend?,
559112,1,"姑娘多大了,有朋友了没有?",How old is she and has she got a boyfriend?,
559211,3,"节日里,孩子们打扮得漂漂亮亮的。",Children dress smartly at festivals.,
559212,3,普通话说得很漂亮。,speak beautiful putonghua,
559611,2,前面陈列的都是新式农具。,The exhibits ahead are all new-style farm implements.,
559612,1,"这个道理,前面已经讲得很详细了。",The reason has already been stated exhaustively above.,
560111,2,他不认识这种草药。,He doesn't know anything about this herbal medicine.,
560112,2,理性认识。,rational knowledge,
560411,2,零售商店。,retail shop,
560911,4,什么叫押韵?,What is rhyme?,
560912,2,"我饿了,想吃点ㄦ什么。",I'm hungry. I want to have something to eat.,
560913,5,"你什么时候去,我也什么时候去。","Whenever you go, I'll go.",
560914,2,这是什么鞋!一只大一只小的!,What damned shoes! One is big and the other is smaller.,
560915,2,你说呀!装什么哑巴?(不必装哑巴),Speak up! Stop playing dumb.,
560916,1,什么晒一天?晒三天也晒不干。,One day? It won't be dried even in three days.,
560917,1,"什么送个信ㄦ啊,跑个腿ㄦ啊,他都干得了。","He can do everything, such as sending a message and running errands.",
561111,1,你写这篇文章用了多少时候?,How much time did you spend writing the article?,
561112,1,现在是什么时候了?,What time is it now?,
561611,2,睡了一觉。,have a sleep,
561711,3,老乡感动得说不出话来。,The farmer was too moved to say anything.,
561713,1,"要把事情做好,否则人家要说话了。","We should do a good job, otherwise people will start talking.",
561714,1,"你稍等一等,我说话就来。",Wait a minute. I'll be right back.,
561715,1,他这句说话很有道理。,What he said was quite right.,
562311,2,今天天气很好。,It's a fine day today.,
562312,2,"天气不早了,快回家吧!",It's getting late. Let's go home.,
562511,2,我和他同过三年学。,He and I were classmates for three years.,
562512,2,这位是我的同班同学。,This is my classmate.,
562513,1,"同学,请问你到游乐场怎么走?","Excuse me, could you tell me where the amusement park is?",
563011,1,"他喜欢文学,我喜欢数学。","He is fond of literature, while I love mathematics.",
563012,2,"快把试验成功的消息广播一下,叫大家喜欢喜欢。",Hurry up and announce the success of the experiment on the public announcement system — everybody will be delighted by it.,
563311,2,"等我们先生回来,我让他马上去找您。","When my husband is back, I'll ask him to see you at once.",
563312,2,"等我们先生回来,我让他马上去找您。","When my husband is back, I'll ask him to see you at once.",
563313,2,"等我们先生回来,我让他马上去找您。","When my husband is back, I'll ask him to see you at once.",
563314,1,在商号当先生。,serve as bookkeeper in a trading company,
563315,1,在商号当先生。,serve as bookkeeper in a trading company,
563316,1,算命先生。,fortune-teller,
563411,1,他现在的情况怎么样?,How is he getting on now?,
564111,3,今天星期几?,What day is today?,
564112,3,今天星期几?,What day is today?,
564113,1,星期休息。,off on Sunday,
564311,2,学习先进经验。,learn from advanced experiences,
564312,1,学习他的为人。,emulate his conduct or behaviour,
565411,2,这个问题该怎么解决?,How shall we resolve this problem?,
565412,1,你愿意怎么办就怎么办。,Do as you like.,
565413,1,"这出戏他刚学,还不怎么会唱(=不大会唱)。","He's just started to learn the aria, so he's still not able to sing it well yet.",
565511,2,"那是他一时的糊涂,也不好怎么样他(=责罚他)。",Since he was so confused at the time we couldn't be too hard on him.,
565512,2,"那是他一时的糊涂,也不好怎么样他(=责罚他)。",Since he was so confused at the time we couldn't be too hard on him.,
565911,1,一张桌子。,a table or desk,
566711,2,帮助灾民。,help the victims of a natural calamity,
567811,2,大家手笔。,work of a master,
567812,1,大家闺秀。,young lady of a noble family,
567813,7,"‘大家’常常放在‘你们、我们、他们、咱们’后面做复指成分,如","It oft. comes after 你们 nǐ·men, 我们 wǒ·men, 他们 tā·men and 咱们 zán·men. Example",
567911,2,"他虽然已经七十多了,但是精力仍然很健旺。","Although he is already in his 70s, he is still full of energy.",
568311,1,叔伯弟弟。,younger cousin who is the son of one's paternal uncle,
568312,1,叔伯弟弟。,younger cousin who is the son of one's paternal uncle,
568411,1,他考了第一名。,He came out number one in the exam.,
568412,1,"百年大计,质量第一。","It is a project to last for 100 years, so quality comes first.",
568611,1,这套房子有五个房间。,This house has five rooms.,
568711,2,非常会议。,extraordinary session,
568712,4,他非常会说话。,He has a smooth (or glib) tongue.,
569011,1,"请你告诉他,今天晚上七点钟开会。",Please tell him the meeting is at 7 tonight.,
569021,1,告诉到法院。,file a suit in court,
569111,2,远房哥哥。,an elder brother of a distant relative,
569112,2,远房哥哥。,an elder brother of a distant relative,
569711,2,男孩子。,boy,
569712,1,她有两个孩子。,She has two children.,
570111,2,欢迎贵宾。,welcome distinguished guests,
570112,2,新产品很受消费者的欢迎。,The new product has been well received by customers.,
570311,2,满意的回答。,satisfactory answer,
570711,1,叔伯姐姐。,elder female cousin (on the paternal side),
570712,1,叔伯姐姐。,elder female cousin (on the paternal side),
570811,3,"我给你介绍一下,这位是张先生。","Let me introduce a new friend to you, this is Mr. Zhang.",
570812,2,中国京剧已被介绍到许多国家。,The Peking Opera has been introduced into many countries.,
570813,2,介绍先进经验。,give a briefing on advanced experience,
571211,1,"游兴很浓,一点也不觉得疲倦。","Having such a lively interest in the excursion, (he) did not feel at all tired.",
571212,1,我觉得应该先跟他商量一下。,I guess we should first consult him.,
571411,2,今天从第五课开始。,Let's begin today's class from Lesson Five.,
571412,2,"提纲已经定了,明天就可以开始写。","With the outline set, (we) can begin writing tomorrow.",
571413,1,"一种新的工作,开始总会遇到一些困难。",One is bound to come across one difficulty or another at the beginning of a new job.,
571611,2,团结国内外一切可能团结的力量,unite with all the forces that can be united with at home and abroad,
571612,2,事情的发展不外有两种可能。,"Judging from the way things go, there can be only two possibilities.",
571613,1,他可能开会去了,Maybe he has gone to the meeting.,
571711,1,"不会的事情,用心去学,是可以学会的",You can learn what you don't know if you set your heart on it.,
571712,1,你可以走了。,You may go.,
571713,1,这篇文章写得还可以。,This article is pretty good.,
571714,2,天气实在热得可以。,It is awfully hot.,
572011,2,祝您生日快乐。,Happy birthday to you.,
572511,3,放假后我们将到青岛旅游。,We are going to have a tour to Qingdao during the vacation.,
573011,2,远房妹妹。,distant younger female cousins,
573012,2,远房妹妹。,distant younger female cousins,
573721,1,占便宜。,gain extra advantage by unfair means,
573722,1,占便宜。,gain extra advantage by unfair means,
573723,1,便宜了你。,You have been let off lightly.,
574011,1,他每天总是天刚亮就起床。,He gets up at dawn everyday.,
574911,1,地球自转一周的时间是二十四小时,The period of a complete rotation of the earth is 24 hours.,
574912,1,地球自转一周的时间是二十四小时,The period of a complete rotation of the earth is 24 hours.,
574913,1,现在的时间是三点十五分。,The time now is 15 minutes past three.,
575011,1,"事情多,忙不过来。",busy at work; too much business to attend to,
575012,1,"不能马虎,出了事情就麻烦了。","Be very careful, because if anything untoward should happen, you will be in big trouble.",
575013,1,在公司里找了一个事情。,find a job with a company,
575411,5,"我和他在一起工作过,这就是我所以对他比较熟悉的原因。",He and I used to work together. That's why I know him pretty well.,
575412,2,不知所以。,not know why it is so,
576211,2,一连几个晚上都没有睡好觉。,haven't slept well for nights on end,
576511,2,我想答复一下这一类的问题。,I would like to answer questions of this kind.,
576512,2,这种药治感冒很解决问题。,This drug is very effective in curing cold.,
576513,1,重要的问题在善于学习。,The important point is that you should be good at study.,
576514,1,那部车床又出问题了。,Something has gone wrong with that lathe again.,
576711,1,他从小就希望做一个医生。,He has aspired to become a doctor since childhood.,
576712,1,这个希望不难实现。,It's easy to turn this hope into reality.,
576713,1,"青少年是我们的未来,是我们的希望。",Our future and our hope rest with the youngsters.,
577411,2,"既要有紧张的工作,又要有适当的休息。","(We) should work hard on the one hand, and have proper rest on the other.",
577621,2,彩虹有七种颜色。,The rainbow has seven spectral colours in it.,
577622,1,颜色憔悴。,look haggard,
577623,1,现出羞愧的颜色。,blush with shame,
577624,1,给他一点颜色看看。,make it hot for him; teach him a lesson,
578111,3,"天已经黑了,他们还没有收工。","It's already dark, but they haven't knocked off yet.",
578211,1,坐在一起。,sit in the same place,
578212,1,"张大叔明天进城,你一起去吧。",Uncle Zhang will go downtown tomorrow. You may go along with him.,
578213,1,这几件东西一起多少钱?,How much is that altogether?,
578311,2,要正确地了解这篇文章的中心意思,One should correctly understand the central idea of this article.,
578312,2,"我想跟你合写一篇文章,你是不是也有这个意思?",I want to write an article together with you. Do you have the same wish?,
578313,1,"这不过是我的一点意思,你就收下吧!",Please accept this little gift as a token of my appreciation.,
578314,1,"大家受累了,得买些东西意思一下。",Everyone has taken the trouble to help me. I'll buy you something as a token of my thanks.,
578315,2,"天气渐渐暖了,树木有点ㄦ发绿的意思了。","It's getting warm, and the trees look like sprouting.",
